Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
TET1 	 U 	 Inf 	 0.1511574 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TET1 	 LR 	 0.1249699 	 0.1511574 	 0.8267532 	 1.395376 	 -208.3917 	 -208.125 	 0.5748614 	 -6213.057 	 -6213.045 	 2.009546 	 -293.8539 
TET1 	 N1 	 0.1373579 	 0.1511574 	 0.9087076 	 1.399485 	 -202.9099 	 -202.3644 	 0.6181105 	 -6892.145 	 -6892.121 	 1.017655 	 -324.2347 
TET1 	 N2 	 0.1374629 	 0.1511574 	 0.9094021 	 1.412735 	 -200.1849 	 -198.1361 	 0.577344 	 -8837.33 	 -8837.245 	 0.1448966 	 -410.2947 
TET1 	 N3 	 0.1462782 	 0.1511574 	 0.9677213 	 1.427582 	 -194.7585 	 -190.0217 	 0.5704852 	 -9173.466 	 -9173.284 	 0.1029483 	 -418.0128 
PHC1 	 U 	 Inf 	 0.2006944 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
PHC1 	 LR 	 0.2755155 	 0.2006944 	 1.372811 	 1.395376 	 -170.4443 	 -170.1776 	 1.267371 	 -4380.767 	 -4380.755 	 12.53304 	 -205.9919 
PHC1 	 N1 	 0.3658138 	 0.2006944 	 1.82274 	 1.399485 	 -155.8922 	 -155.3468 	 1.646162 	 -5585.321 	 -5585.297 	 3.75474 	 -261.5699 
PHC1 	 N2 	 0.4407728 	 0.2006944 	 2.196238 	 1.412735 	 -144.2564 	 -142.2077 	 1.851246 	 -8199.105 	 -8199.021 	 0.2741315 	 -379.6905 
PHC1 	 N3 	 0.4754336 	 0.2006944 	 2.368942 	 1.427582 	 -138.1801 	 -133.4433 	 1.854191 	 -8199.465 	 -8199.283 	 0.2723953 	 -371.3074 
SNAI2 	 U 	 Inf 	 0.1444444 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SNAI2 	 LR 	 0.1939668 	 0.1444444 	 1.342847 	 1.395376 	 -187.2902 	 -187.0236 	 0.8922472 	 -4000.597 	 -4000.585 	 18.32301 	 -187.762 
SNAI2 	 N1 	 0.340658 	 0.1444444 	 2.358402 	 1.399485 	 -159.312 	 -158.7665 	 1.532961 	 -7248.541 	 -7248.517 	 0.7128112 	 -341.3246 
SNAI2 	 N2 	 0.3651994 	 0.1444444 	 2.528304 	 1.412735 	 -153.2846 	 -151.2358 	 1.533837 	 -8102.445 	 -8102.361 	 0.3019228 	 -375.0555 
SNAI2 	 N3 	 0.3990617 	 0.1444444 	 2.762735 	 1.427582 	 -146.5855 	 -141.8486 	 1.556341 	 -8184.567 	 -8184.385 	 0.2764797 	 -370.593 
FOXD1 	 U 	 Inf 	 0.2231481 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
FOXD1 	 LR 	 0.34328 	 0.2231481 	 1.53835 	 1.395376 	 -159.889 	 -159.6223 	 1.579088 	 -5617.381 	 -5617.369 	 3.643663 	 -265.2901 
FOXD1 	 N1 	 0.3858154 	 0.2231481 	 1.728965 	 1.399485 	 -153.337 	 -152.7915 	 1.736169 	 -5071.793 	 -5071.769 	 6.271616 	 -236.9451 
FOXD1 	 N2 	 0.3985451 	 0.2231481 	 1.786011 	 1.412735 	 -149.0905 	 -147.0417 	 1.673889 	 -7085.032 	 -7084.948 	 0.8342787 	 -326.2685 
FOXD1 	 N3 	 0.4357789 	 0.2231481 	 1.952868 	 1.427582 	 -142.3605 	 -137.6237 	 1.699538 	 -7656.114 	 -7655.932 	 0.4687469 	 -345.2526 
CD44 	 U 	 Inf 	 0.1319444 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CD44 	 LR 	 0.1846608 	 0.1319444 	 1.399535 	 1.395376 	 -189.6502 	 -189.3835 	 0.8494398 	 -5255.13 	 -5255.118 	 5.232445 	 -247.9194 
CD44 	 N1 	 0.2527047 	 0.1319444 	 1.915236 	 1.399485 	 -173.6475 	 -173.1021 	 1.137171 	 -6375.75 	 -6375.726 	 1.704684 	 -299.4725 
CD44 	 N2 	 0.2584384 	 0.1319444 	 1.958691 	 1.412735 	 -169.8823 	 -167.8335 	 1.085441 	 -7881.84 	 -7881.756 	 0.3763636 	 -364.477 
CD44 	 N3 	 0.2940843 	 0.1319444 	 2.228849 	 1.427582 	 -161.2374 	 -156.5006 	 1.146929 	 -9553.84 	 -9553.658 	 0.07040275 	 -436.2525 
GABRB3 	 U 	 Inf 	 0.1585648 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
GABRB3 	 LR 	 0.3319957 	 0.1585648 	 2.093754 	 1.395376 	 -161.4933 	 -161.2267 	 1.52718 	 -3615.349 	 -3615.337 	 26.92408 	 -169.2885 
GABRB3 	 N1 	 0.6708559 	 0.1585648 	 4.2308 	 1.399485 	 -126.7836 	 -126.2381 	 3.018852 	 -7512.398 	 -7512.374 	 0.5476428 	 -353.9771 
GABRB3 	 N2 	 0.6370531 	 0.1585648 	 4.01762 	 1.412735 	 -126.5769 	 -124.5281 	 2.675623 	 -8498.879 	 -8498.794 	 0.2031885 	 -394.0653 
GABRB3 	 N3 	 0.7027072 	 0.1585648 	 4.431672 	 1.427582 	 -119.4259 	 -114.6891 	 2.740558 	 -9377.64 	 -9377.458 	 0.08395297 	 -427.8033 
SOX2 	 U 	 Inf 	 0.2074074 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SOX2 	 LR 	 0.199162 	 0.2074074 	 0.9602455 	 1.395376 	 -186.0215 	 -185.7548 	 0.9161453 	 -4112.197 	 -4112.185 	 16.38997 	 -193.1134 
SOX2 	 N1 	 0.2882669 	 0.2074074 	 1.389858 	 1.399485 	 -167.3276 	 -166.7822 	 1.297201 	 -6524.364 	 -6524.34 	 1.469489 	 -306.5989 
SOX2 	 N2 	 0.2692231 	 0.2074074 	 1.29804 	 1.412735 	 -167.9199 	 -165.8711 	 1.130737 	 -8902.002 	 -8901.918 	 0.1358312 	 -413.3959 
SOX2 	 N3 	 0.2901557 	 0.2074074 	 1.398965 	 1.427582 	 -161.883 	 -157.1461 	 1.131607 	 -9170.338 	 -9170.156 	 0.1032704 	 -417.8628 
ZNF281 	 U 	 Inf 	 0.07152778 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
ZNF281 	 LR 	 0.06791142 	 0.07152778 	 0.9494412 	 1.395376 	 -237.6654 	 -237.3987 	 0.3123925 	 -7029.432 	 -7029.42 	 0.8890068 	 -333.0008 
ZNF281 	 N1 	 0.07146643 	 0.07152778 	 0.9991423 	 1.399485 	 -234.2713 	 -233.7258 	 0.3215989 	 -6476.897 	 -6476.873 	 1.54085 	 -304.3227 
ZNF281 	 N2 	 0.07637839 	 0.07152778 	 1.067814 	 1.412735 	 -228.3923 	 -226.3435 	 0.3207893 	 -7950.939 	 -7950.854 	 0.3512598 	 -367.7904 
ZNF281 	 N3 	 0.08542981 	 0.07152778 	 1.194358 	 1.427582 	 -220.5737 	 -215.8368 	 0.3331763 	 -8914.046 	 -8913.865 	 0.1334046 	 -405.5731 
SP1 	 U 	 Inf 	 0.07314815 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SP1 	 LR 	 0.1032555 	 0.07314815 	 1.411594 	 1.395376 	 -217.5533 	 -217.2866 	 0.4749752 	 -8049.224 	 -8049.212 	 0.3209646 	 -381.9019 
SP1 	 N1 	 0.105376 	 0.07314815 	 1.440584 	 1.399485 	 -215.6325 	 -215.087 	 0.4741922 	 -7941.607 	 -7941.583 	 0.3566813 	 -374.5586 
SP1 	 N2 	 0.1206972 	 0.07314815 	 1.650038 	 1.412735 	 -206.4282 	 -204.3794 	 0.5069284 	 -9094.78 	 -9094.696 	 0.1120368 	 -422.64 
