Gene	Baseline	Scale1	Mean1	Stdev1	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.3580921 	 0.5500685 	 0.1750281 	 -202.3644 	 -6892.121 	Good
PHC1 	 0.4725275 	 0.5042732 	 0.7028938 	 0.1092853 	 -155.3468 	 -5585.297 	Poor
SNAI2 	 0.8021978 	 -0.7619421 	 0.3042713 	 0.1077539 	 -158.7665 	 -7248.517 	Poor
FOXD1 	 0.7692308 	 -0.5611479 	 0.576257 	 0.1750281 	 -152.7915 	 -5071.769 	Poor
CD44 	 1 	 -0.4964486 	 0.7509879 	 0.1750281 	 -173.1021 	 -6375.726 	Poor
GABRB3 	 0.04395604 	 1 	 0.8711264 	 0.1195705 	 -126.2381 	 -7512.374 	Poor
SOX2 	 0.04395604 	 0.9413888 	 0.6831943 	 0.1750281 	 -166.7822 	 -6524.34 	Good
ZNF281 	 0.9230769 	 0.1003703 	 0.9137385 	 0.1197077 	 -233.7258 	 -6476.873 	Good
SP1 	 0.8461538 	 0.1393361 	 0.5727127 	 0.1750281 	 -215.087 	 -7941.583 	Poor
LEFTY1 	 0.01098901 	 0.5596301 	 0.5433448 	 0.1750281 	 -182.5065 	 -6681.588 	Good
SET 	 0.9340659 	 0.1000324 	 0.6797031 	 0.1750281 	 -269.9672 	 -6632.21 	Good
CBX7 	 0.04395604 	 -0.1006996 	 0.9796275 	 0.05989021 	 -276.4517 	 -7545.793 	Good
UTF1 	 0.02197802 	 0.8502285 	 0.3488467 	 0.09539764 	 -117.379 	 -5703.442 	Poor
CDH2..NCAD. 	 0.8241758 	 -0.1010115 	 0.8962083 	 0.05866112 	 -204.0373 	 -5115.365 	Good
HNF4A 	 0 	 0.1522608 	 0.2126672 	 0.07046031 	 -214.6621 	 -6225.595 	Good
TGFBR2 	 0.967033 	 -0.6546314 	 0.3193291 	 0.1750281 	 -152.8901 	 -5808.891 	Poor
DUSP10 	 0.2527473 	 -0.2243815 	 0.2755198 	 0.04226027 	 -213.4483 	 -8336.023 	Good
MYC 	 0.2967033 	 -0.130614 	 0.9463289 	 0.02073297 	 -77.88376 	 -3727.528 	Poor
ZFP42..REX1. 	 0.02197802 	 0.9855696 	 0.6658251 	 0.152026 	 -174.8826 	 -8469.466 	Good
TRIM28 	 0.8901099 	 0.1017268 	 0.3497287 	 0.146577 	 -255.6302 	 -9270.374 	Good
CD48 	 0 	 0.1000949 	 0.2728472 	 0.06815047 	 -227.7033 	 -7187.405 	Poor
CDKN1A 	 0.989011 	 -0.4976164 	 0.5601676 	 0.1750281 	 -189.0768 	 -6962.303 	Good
JMJD3 	 0.3406593 	 -0.1006465 	 0.9727574 	 0.04181819 	 -170.3447 	 -5231.36 	Good
RNF2 	 0.7362637 	 0.2338622 	 0.6759413 	 0.1336336 	 -205.4417 	 -6137.176 	Good
LATS2 	 0.7472527 	 0.1008595 	 0.9796275 	 0.02834914 	 -150.6287 	 -3636.203 	Poor
FGF2 	 0.9010989 	 -0.1897739 	 0.1496136 	 0.0645776 	 -169.1734 	 -4735.553 	Poor
LCK 	 0 	 0.4898491 	 0.7138712 	 0.1750281 	 -174.1689 	 -5290.748 	Poor
KLF5 	 0.3516484 	 0.3478136 	 0.2382095 	 0.03984794 	 -130.4978 	 -5265.598 	Poor
KLF4 	 0.7582418 	 -0.2042386 	 0.1282416 	 0.0735937 	 -165.5065 	 -6694.486 	Good
NACC1 	 0.7802198 	 0.1777531 	 0.3991737 	 0.1750281 	 -214.5037 	 -7943.182 	Good
DNMT3L 	 0 	 0.5812949 	 0.579435 	 0.08163162 	 -155.6114 	 -5760.195 	Poor
EZH2 	 0.1538462 	 0.4386775 	 0.85512 	 0.1750281 	 -118.9114 	 -4991.803 	Poor
EED 	 0.2307692 	 0.1005184 	 0.9796275 	 0.01366757 	 -170.8271 	 -5827.474 	Good
SMARCC2 	 0.989011 	 0.1007702 	 0.9796275 	 0.03163059 	 -287.9976 	 -6464.077 	Good
NODAL 	 0.02197802 	 0.5728885 	 0.6921241 	 0.1239907 	 -180.5841 	 -8137.457 	Good
CDH1 	 0.1428571 	 0.8240327 	 0.3955844 	 0.1750281 	 -176.0398 	 -6257.968 	Poor
LEFTY2 	 0 	 0.6998562 	 0.344315 	 0.08568447 	 -127.2874 	 -5140.763 	Poor
RIF1 	 0.6923077 	 0.1936059 	 0.3803915 	 0.04717693 	 -191.0397 	 -6486.747 	Good
ETV5 	 0.3736264 	 -0.1004805 	 0.5847958 	 0.1750281 	 -176.2157 	 -5788.055 	Good
DNMT3B 	 0.1098901 	 0.8838617 	 0.4272809 	 0.1750281 	 -188.6775 	 -7545.794 	Good
KDM5A 	 0.7802198 	 0.1005501 	 0.918604 	 0.09248802 	 -177.0454 	 -4390.794 	Good
JARID2 	 0.5164835 	 0.4568032 	 0.2604038 	 0.1597628 	 -195.9747 	 -7831.411 	Good
LOX 	 1 	 -0.8427307 	 0.3798094 	 0.1750281 	 -181.7201 	 -6088.882 	Good
Wnt3 	 0 	 0.1932318 	 0.7106668 	 0.1142351 	 -238.9303 	 -10083.4 	Good
Gata6 	 0.1318681 	 -0.1000441 	 0.9796275 	 0.0874654 	 -201.0876 	 -6462.211 	Good
DPPA2 	 0 	 0.5063298 	 0.776964 	 0.1033751 	 -183.4552 	 -9793.191 	Poor
SALL1 	 0.6263736 	 0.2010028 	 0.2618085 	 0.04234723 	 -163.66 	 -6531.591 	Poor
NR0B1.DAX1. 	 0.01098901 	 0.100318 	 0.9796275 	 0.04338357 	 -263.8711 	 -8314.404 	Poor
TCF3 	 0.3406593 	 0.8188859 	 0.9796275 	 0.1689057 	 -146.5395 	 -5551.141 	Poor
PTPN6 	 0.02197802 	 0.3559594 	 0.7137783 	 0.145322 	 -192.4727 	 -8710.062 	Poor
USP16 	 0.8021978 	 0.1004845 	 0.4506765 	 0.1750281 	 -194.4107 	 -6737.752 	Good
SETD1A 	 0.7142857 	 0.1769116 	 0.3765643 	 0.1750281 	 -189.5395 	 -6152.38 	Good
HDAC2 	 0.7032967 	 0.2656643 	 0.3299678 	 0.04734154 	 -202.2212 	 -8416.506 	Poor
LUM 	 0.989011 	 -0.9056378 	 0.2973561 	 0.08222455 	 -151.8519 	 -6959.455 	Poor
SOX13 	 0.3296703 	 0.4159242 	 0.4515733 	 0.1184008 	 -179.0382 	 -5554.216 	Good
SMAD4 	 0.8131868 	 0.163525 	 0.9248338 	 0.09778392 	 -180.0778 	 -6920.935 	Poor
SEMA6A 	 0 	 0.9784438 	 0.3728953 	 0.1590963 	 -165.9626 	 -6955.984 	Poor
GAL 	 0.1538462 	 0.6690058 	 0.3850084 	 0.1643641 	 -137.1285 	 -6882.876 	Poor
SALL4 	 0.1098901 	 0.8670578 	 0.3314558 	 0.1668265 	 -166.2241 	 -7600.787 	Poor
HESX1 	 0.01098901 	 0.377681 	 0.9491668 	 0.1750281 	 -191.752 	 -7694.64 	Poor
CCR7 	 0 	 0.1003118 	 0.8284513 	 0.1750281 	 -292.0607 	 -9140.503 	Good
PRDM14 	 0 	 0.9656155 	 0.5402957 	 0.1221171 	 -179.3477 	 -8088.284 	Good
COL3A1 	 0.989011 	 -1 	 0.7108136 	 0.1672116 	 -158.2806 	 -6808.535 	Poor
GREM1 	 0.7912088 	 -0.7657594 	 0.2250198 	 0.07587878 	 -159.5342 	 -7717.585 	Poor
DVL2 	 0.7142857 	 0.1784551 	 0.4381785 	 0.1750281 	 -173.6963 	 -7219.893 	Poor
APOE 	 0.0989011 	 0.8544056 	 0.4561717 	 0.1750281 	 -190.5756 	 -4464.259 	Good
LRRN1 	 0 	 0.9593063 	 0.8940225 	 0.1750281 	 -148.1475 	 -6522.565 	Poor
STAT3 	 0.8681319 	 0.1002635 	 0.8857955 	 0.1750281 	 -198.5252 	 -6911.968 	Poor
OTX2 	 0.03296703 	 0.6774756 	 0.8983033 	 0.1750281 	 -143.621 	 -6207.94 	Poor
CCND1 	 0.967033 	 -0.1004984 	 0.7700512 	 0.1750281 	 -241.6305 	 -6811.63 	Good
STEMCCA.P2A 	 0.9340659 	 -0.1653018 	 0.927936 	 0.04349315 	 -179.8385 	 -7681.216 	Poor
TET2 	 0.3846154 	 -0.2601709 	 0.8355381 	 0.07867547 	 -159.398 	 -4449.024 	Poor
KAT7..Myst. 	 0.6923077 	 0.2512745 	 0.4048748 	 0.1750281 	 -201.7907 	 -7884.723 	Good
TDGF1 	 0.0989011 	 0.5463245 	 0.353241 	 0.1750281 	 -104.7699 	 -6350.102 	Poor
MASP1 	 0.9120879 	 -0.8595198 	 0.2707029 	 0.09465101 	 -152.4178 	 -7796.79 	Poor
KDR 	 0 	 0.5474491 	 0.3329882 	 0.1750281 	 -182.0926 	 -4791.675 	Good
GDF3 	 0 	 0.9548071 	 0.4761538 	 0.160029 	 -176.7418 	 -6838.877 	Good
NANOG 	 0.1648352 	 0.7947226 	 0.333856 	 0.1282279 	 -166.1414 	 -7894.622 	Poor
ZIC3 	 0.03296703 	 0.8250499 	 0.8231268 	 0.1569195 	 -167.5822 	 -8196.057 	Poor
LIN28A 	 0.1978022 	 0.8531718 	 0.7707265 	 0.1750281 	 -143.6763 	 -6139.034 	Poor
POU5F1 	 0.1978022 	 0.7799052 	 0.4262687 	 0.1275012 	 -162.4114 	 -7796.055 	Poor
