Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.321798 	 0.8494093 	 0.1750281 	 0.1756356 	 0.3741621 	 0.08808591 	 -198.1361 	 -8837.245 	Good
PHC1 	 0.4725275 	 0.6784754 	 0.6645164 	 0.1701251 	 -0.1384539 	 0.1957487 	 0.03762451 	 -142.2077 	 -8199.021 	Poor
SNAI2 	 0.8021978 	 -0.6420449 	 0.2755712 	 0.07655855 	 -0.1279576 	 0.5093424 	 0.04680386 	 -151.2358 	 -8102.361 	Poor
FOXD1 	 0.7692308 	 -0.4579345 	 0.7160168 	 0.1434319 	 -0.1638532 	 0.1504153 	 0.04716125 	 -147.0417 	 -7084.948 	Poor
CD44 	 1 	 -0.1000127 	 0.2124282 	 0.05296498 	 -0.3545948 	 0.7867503 	 0.09765859 	 -167.8335 	 -7881.756 	Poor
GABRB3 	 0.04395604 	 0.9246319 	 0.8906475 	 0.1011859 	 0.100025 	 0.6031202 	 0.1750281 	 -124.5281 	 -8498.794 	Poor
SOX2 	 0.04395604 	 0.8447882 	 0.7247306 	 0.1510899 	 0.1103627 	 0.2574725 	 0.05795529 	 -165.8711 	 -8901.918 	Good
ZNF281 	 0.9230769 	 -0.7331036 	 0.3255318 	 0.1750281 	 0.7676136 	 0.3767017 	 0.1750281 	 -226.3435 	 -7950.854 	Good
SP1 	 0.8461538 	 1 	 0.5473946 	 0.1211184 	 -0.8542588 	 0.5432517 	 0.09734984 	 -204.3794 	 -9094.696 	Poor
LEFTY1 	 0.01098901 	 0.3468302 	 0.6590015 	 0.07854087 	 0.2098922 	 0.3099995 	 0.09466333 	 -176.6065 	 -8915.947 	Good
SET 	 0.9340659 	 -0.3821776 	 0.2369973 	 0.08050826 	 0.4382937 	 0.288979 	 0.07857457 	 -236.9606 	 -8980.34 	Poor
CBX7 	 0.04395604 	 0.4169433 	 0.4278584 	 0.1680522 	 -0.4300153 	 0.429194 	 0.1271687 	 -269.361 	 -10461.3 	Good
UTF1 	 0.02197802 	 -0.4920828 	 0.9767018 	 0.1010589 	 0.9100744 	 0.3615104 	 0.1089416 	 -103.6335 	 -7947.565 	Poor
CDH2..NCAD. 	 0.8241758 	 0.9818303 	 0.3717184 	 0.1021479 	 -1 	 0.389082 	 0.1750281 	 -187.7673 	 -6849.34 	Good
HNF4A 	 0 	 -0.1773525 	 0.7813228 	 0.1082201 	 0.2329801 	 0.3126945 	 0.1703339 	 -193.7466 	 -8085.174 	Poor
TGFBR2 	 0.967033 	 -0.2401054 	 0.6353214 	 0.0844666 	 -0.4593613 	 0.2294663 	 0.07874392 	 -150.8039 	 -7828.428 	Poor
DUSP10 	 0.2527473 	 -0.238532 	 0.284342 	 0.05354943 	 0.1004776 	 0.9796275 	 0.1748474 	 -202.6499 	 -8281.152 	Poor
MYC 	 0.2967033 	 0.2370947 	 0.2437854 	 0.1055285 	 -0.6231727 	 0.9534347 	 0.1750281 	 -72.64249 	 -8027.091 	Poor
ZFP42..REX1. 	 0.02197802 	 0.8705728 	 0.6849108 	 0.1313604 	 0.1000821 	 0.4465747 	 0.06654409 	 -167.2033 	 -8552.1 	Good
TRIM28 	 0.8901099 	 0.2115636 	 0.4757916 	 0.1750281 	 -0.1008763 	 0.5528039 	 0.07310128 	 -248.3583 	 -9763.742 	Good
CD48 	 0 	 -0.1003554 	 0.7519085 	 0.1750281 	 0.1273981 	 0.3125972 	 0.1142288 	 -219.5372 	 -8771.674 	Poor
CDKN1A 	 0.989011 	 -0.3941929 	 0.6231593 	 0.1260482 	 -0.1008798 	 0.1823721 	 0.08112887 	 -180.5753 	 -8428.566 	Good
JMJD3 	 0.3406593 	 -0.3042053 	 0.2419543 	 0.1633261 	 0.2585177 	 0.3346426 	 0.05170797 	 -162.6837 	 -6888.348 	Poor
RNF2 	 0.7362637 	 -0.1550135 	 0.2456183 	 0.03406286 	 0.3705286 	 0.5244387 	 0.1750281 	 -185.7332 	 -7620.198 	Good
LATS2 	 0.7472527 	 -0.2941666 	 0.1990765 	 0.08003047 	 0.3071434 	 0.6317602 	 0.1410982 	 -148.1834 	 -8420.546 	Poor
FGF2 	 0.9010989 	 0.3343163 	 0.7996641 	 0.1019806 	 -0.2976056 	 0.2238654 	 0.1430425 	 -147.4905 	 -7821.752 	Poor
