Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.1007317 	 0.6170816 	 0.07450314 	 0.2657853 	 0.9280395 	 0.1212498 	 0.1567523 	 0.3558463 	 0.06918072 	 -190.0217 	 -9173.284 	Good
PHC1 	 0.4725275 	 -0.330588 	 0.5632919 	 0.1750281 	 1 	 0.6335293 	 0.1750281 	 -0.1312214 	 0.1935646 	 0.03426499 	 -133.4433 	 -8199.283 	Poor
SNAI2 	 0.8021978 	 0.271311 	 0.4509829 	 0.1750281 	 -0.727714 	 0.2751343 	 0.07876022 	 -0.3047506 	 0.5115804 	 0.08089041 	 -141.8486 	 -8184.385 	Poor
FOXD1 	 0.7692308 	 -0.168053 	 0.1523116 	 0.04756967 	 -0.2168122 	 0.6071528 	 0.05394163 	 -0.3180515 	 0.8788721 	 0.1265849 	 -137.6237 	 -7655.932 	Poor
CD44 	 1 	 -0.5193095 	 0.7770445 	 0.1750281 	 0.2232585 	 0.3438623 	 0.1195946 	 -0.2300525 	 0.2456356 	 0.0741067 	 -156.5006 	 -9553.658 	Poor
GABRB3 	 0.04395604 	 1 	 0.7694966 	 0.1750281 	 -0.2976363 	 0.6161225 	 0.06965749 	 0.2722666 	 0.9116687 	 0.04338859 	 -114.6891 	 -9377.458 	Poor
SOX2 	 0.04395604 	 0.6976649 	 0.6930035 	 0.1239521 	 0.1220331 	 0.2652619 	 0.06308108 	 0.1003991 	 0.8782821 	 0.03534324 	 -157.1461 	 -9170.156 	Good
ZNF281 	 0.9230769 	 -0.8250379 	 0.4243345 	 0.1750281 	 0.4846815 	 0.387477 	 0.1037446 	 0.4046019 	 0.5989791 	 0.1750281 	 -215.8368 	 -8913.865 	Good
SP1 	 0.8461538 	 -0.6968439 	 0.4916329 	 0.1151094 	 1 	 0.4631326 	 0.1750281 	 -0.1518151 	 0.204869 	 0.07341882 	 -193.8095 	 -9628.119 	Poor
LEFTY1 	 0.01098901 	 -0.8001698 	 0.6389739 	 0.1750281 	 0.3221158 	 0.3377989 	 0.1061805 	 1 	 0.6602529 	 0.1144606 	 -168.1954 	 -9218.254 	Good
SET 	 0.9340659 	 0.1004863 	 0.5542368 	 0.1750281 	 -0.4708724 	 0.3442288 	 0.1417484 	 0.4366183 	 0.3508515 	 0.07550569 	 -230.8177 	 -9364.444 	Poor
CBX7 	 0.04395604 	 0.2239396 	 0.3683013 	 0.1750281 	 0.7550841 	 0.6228689 	 0.1453988 	 -1 	 0.5673597 	 0.1750281 	 -260.0647 	 -10503.3 	Good
UTF1 	 0.02197802 	 0.6965511 	 0.3961638 	 0.1142565 	 -0.5266403 	 0.9796275 	 0.1151647 	 0.2279885 	 0.2881011 	 0.04417816 	 -94.44659 	 -8756.619 	Poor
CDH2..NCAD. 	 0.8241758 	 0.3665378 	 0.5015815 	 0.0639266 	 0.6064032 	 0.3351815 	 0.06098905 	 -1 	 0.4224351 	 0.1750281 	 -176.3313 	 -7162.312 	Good
HNF4A 	 0 	 0.2652007 	 0.3395942 	 0.1750281 	 -0.10005 	 0.6590592 	 0.1362452 	 -0.256337 	 0.9796275 	 0.1750281 	 -186.0027 	 -7916.883 	Poor
TGFBR2 	 0.967033 	 0.4469284 	 0.3981553 	 0.05713047 	 -1 	 0.3347414 	 0.1340084 	 -0.1465056 	 0.6780396 	 0.06586271 	 -141.8707 	 -8183.523 	Poor
DUSP10 	 0.2527473 	 -0.337424 	 0.5853912 	 0.1254394 	 0.3189297 	 0.6292648 	 0.1210334 	 -0.1914598 	 0.264451 	 0.03118857 	 -197.4001 	 -9191.265 	Poor
MYC 	 0.2967033 	 0.4570845 	 0.3544869 	 0.1613825 	 -0.6868323 	 0.9796275 	 0.1741592 	 -0.2301433 	 0.4807489 	 0.09445596 	 -64.6346 	 -8222.302 	Poor
ZFP42..REX1. 	 0.02197802 	 0.1229248 	 0.4240214 	 0.03814109 	 0.2788651 	 0.809114 	 0.05770374 	 0.5520343 	 0.6280253 	 0.07660696 	 -157.0554 	 -9113.213 	Poor
TRIM28 	 0.8901099 	 0.1004196 	 0.339418 	 0.1167782 	 -0.4987616 	 0.6973706 	 0.09572328 	 0.5072054 	 0.7038427 	 0.09274664 	 -239.7549 	 -9604.525 	Good
CD48 	 0 	 -0.1233838 	 0.8992676 	 0.1621264 	 1 	 0.3590268 	 0.07049857 	 -0.8911889 	 0.3664285 	 0.06455935 	 -211.561 	 -9168.679 	Poor
CDKN1A 	 0.989011 	 -0.100661 	 0.178666 	 0.07996666 	 -0.1774123 	 0.9796275 	 0.1564577 	 -0.3306192 	 0.5922902 	 0.09581973 	 -171.6078 	 -9050.367 	Good
JMJD3 	 0.3406593 	 -0.7870711 	 0.3506784 	 0.1750281 	 0.6553979 	 0.3538847 	 0.09070631 	 0.1208064 	 0.7557137 	 0.03540122 	 -155.1586 	 -8008.637 	Poor
RNF2 	 0.7362637 	 1 	 0.2771451 	 0.1119413 	 -0.9604502 	 0.2519973 	 0.07834852 	 0.2255471 	 0.7439765 	 0.1750281 	 -177.8831 	 -9051.774 	Good
LATS2 	 0.7472527 	 -0.1005899 	 0.1870642 	 0.1750281 	 0.3199371 	 0.624304 	 0.1456455 	 -0.2066675 	 0.2099636 	 0.05706485 	 -139.4634 	 -8519.883 	Poor
FGF2 	 0.9010989 	 0.4226539 	 0.7987923 	 0.1112442 	 -0.1002162 	 0.8188733 	 0.1750281 	 -0.2970342 	 0.2249545 	 0.1478001 	 -138.6625 	 -7834.408 	Poor
LCK 	 0 	 0.6455598 	 0.9434082 	 0.09581559 	 -0.8094943 	 0.3546239 	 0.09075498 	 1 	 0.3562556 	 0.1050043 	 -163.842 	 -9414.325 	Poor
KLF5 	 0.3516484 	 0.3461324 	 0.2874389 	 0.04283307 	 -0.1996034 	 0.5774166 	 0.06418657 	 0.1282256 	 0.2014235 	 0.009334832 	 -107.7553 	 -7543.741 	Poor
KLF4 	 0.7582418 	 0.1002299 	 0.4450137 	 0.1750281 	 -0.1356526 	 0.9229466 	 0.03396854 	 -0.2691272 	 0.1634582 	 0.116471 	 -150.9209 	 -7738.092 	Good
NACC1 	 0.7802198 	 -0.4143019 	 0.6891491 	 0.1750281 	 0.4873262 	 0.7222668 	 0.1750281 	 0.1476153 	 0.3356906 	 0.09469945 	 -203.4699 	 -8729.663 	Good
DNMT3L 	 0 	 0.3138799 	 0.6063152 	 0.06476067 	 -0.3771231 	 0.9190641 	 0.04800299 	 0.4280994 	 0.6348119 	 0.1750281 	 -134.5254 	 -9196.403 	Poor
EZH2 	 0.1538462 	 0.1417597 	 0.9796275 	 0.1395039 	 0.1009811 	 0.04927719 	 0.03051898 	 0.4835878 	 0.9796275 	 0.07961403 	 -107.7285 	 -7103.641 	Poor
EED 	 0.2307692 	 1 	 0.2977552 	 0.1750281 	 -0.1009282 	 0.8236477 	 0.07006504 	 -0.9148104 	 0.3010831 	 0.1564635 	 -155.7941 	 -7999.924 	Poor
SMARCC2 	 0.989011 	 -1 	 0.3311967 	 0.1518936 	 0.2714623 	 0.3643277 	 0.05769717 	 0.7399577 	 0.3540773 	 0.1750281 	 -251.6654 	 -10189.46 	Poor
NODAL 	 0.02197802 	 0.8441175 	 0.55548 	 0.1750281 	 -0.3778471 	 0.4277579 	 0.09570376 	 0.100452 	 0.7811344 	 0.01647225 	 -165.251 	 -9069.194 	Poor
CDH1 	 0.1428571 	 0.5342619 	 0.5858944 	 0.1371809 	 0.4153758 	 0.2304085 	 0.1725416 	 -0.1009056 	 0.7252779 	 0.06652374 	 -165.3617 	 -8363.782 	Poor
LEFTY2 	 0 	 0.6739572 	 0.3883843 	 0.1207449 	 0.1358731 	 0.30435 	 0.01168353 	 -0.390578 	 0.8847112 	 0.09359366 	 -100.2671 	 -8986.939 	Poor
RIF1 	 0.6923077 	 0.5121227 	 0.3077249 	 0.07923638 	 0.1836015 	 0.9796275 	 0.128298 	 -0.3389661 	 0.2321699 	 0.1057887 	 -170.3106 	 -8922.087 	Poor
ETV5 	 0.3736264 	 -0.2314484 	 0.3009289 	 0.1750281 	 0.100451 	 0.8532575 	 0.1334278 	 0.1446537 	 0.07424906 	 0.03879011 	 -155.089 	 -7442.554 	Good
DNMT3B 	 0.1098901 	 0.6206366 	 0.3466629 	 0.1210083 	 0.171121 	 0.6722015 	 0.1057043 	 0.1008614 	 0.5731746 	 0.01420753 	 -173.2931 	 -8302.997 	Good
KDM5A 	 0.7802198 	 -0.4063288 	 0.2376448 	 0.1236358 	 0.2686246 	 0.3316437 	 0.05828709 	 0.2026513 	 0.7369438 	 0.08973923 	 -168.0625 	 -8541.161 	Good
JARID2 	 0.5164835 	 0.1004242 	 0.106269 	 0.04992804 	 -0.3110135 	 0.4880795 	 0.08241009 	 0.6885531 	 0.411246 	 0.1689894 	 -185.7305 	 -9193.724 	Good
LOX 	 1 	 -0.5756475 	 0.2671972 	 0.08604414 	 0.1003556 	 0.363936 	 0.01651079 	 -0.3789688 	 0.5666976 	 0.07353268 	 -166.7125 	 -9477.944 	Good
Wnt3 	 0 	 -0.100076 	 0.7267284 	 0.04067087 	 -0.3865127 	 0.9004349 	 0.06887913 	 0.7900263 	 0.8586332 	 0.1507264 	 -222.1999 	 -11196.4 	Good
Gata6 	 0.1318681 	 -0.1008824 	 0.2535638 	 0.1750281 	 0.1597343 	 0.2957447 	 0.05338183 	 -0.119384 	 0.8114327 	 0.1750281 	 -175.0215 	 -8990.418 	Poor
DPPA2 	 0 	 -0.1334316 	 0.5820242 	 0.03950538 	 0.4167081 	 0.797253 	 0.08215049 	 0.2122038 	 0.6048213 	 0.04748352 	 -166.8653 	 -10215.19 	Poor
SALL1 	 0.6263736 	 -0.1421739 	 0.5963107 	 0.08725042 	 0.2774795 	 0.2924387 	 0.07175877 	 0.2001236 	 0.9796275 	 0.09904529 	 -145.9718 	 -8620.911 	Poor
NR0B1.DAX1. 	 0.01098901 	 1 	 0.483065 	 0.1750281 	 -0.2038901 	 0.6810297 	 0.0970512 	 -0.7745998 	 0.4327016 	 0.1451664 	 -245.2909 	 -11471.8 	Poor
TCF3 	 0.3406593 	 0.2118389 	 0.9630796 	 0.1122769 	 0.2896624 	 0.9435245 	 0.07450313 	 0.1008163 	 0.09287916 	 0.1750281 	 -144.7716 	 -7126.173 	Poor
PTPN6 	 0.02197802 	 0.1000215 	 0.5901397 	 0.1750281 	 -0.2983775 	 0.9796275 	 0.1663484 	 0.4068969 	 0.7909119 	 0.1260897 	 -176.2573 	 -9054.651 	Poor
USP16 	 0.8021978 	 0.1982828 	 0.39876 	 0.05300958 	 -1 	 0.566252 	 0.09569222 	 0.8422244 	 0.5804478 	 0.07829222 	 -180.6104 	 -8955.854 	Good
SETD1A 	 0.7142857 	 1 	 0.5508241 	 0.1750281 	 0.1830721 	 0.3872983 	 0.02832208 	 -0.9318961 	 0.5135137 	 0.1221833 	 -170.3687 	 -8032.586 	Poor
HDAC2 	 0.7032967 	 -0.2357444 	 0.3927519 	 0.1750281 	 0.1003105 	 0.6626458 	 0.1743988 	 0.4231412 	 0.3285895 	 0.06943916 	 -188.8687 	 -9087.407 	Poor
LUM 	 0.989011 	 -0.6540573 	 0.2886572 	 0.08523454 	 -0.1926476 	 0.2878228 	 0.02308768 	 -0.1182649 	 0.7225485 	 0.1750281 	 -141.1323 	 -9127.345 	Poor
SOX13 	 0.3296703 	 0.7424583 	 0.3078418 	 0.09723461 	 -0.4264423 	 0.2127692 	 0.07713445 	 0.4641835 	 0.9796275 	 0.170597 	 -161.9464 	 -8309.265 	Good
SMAD4 	 0.8131868 	 0.4158336 	 0.3029078 	 0.04329874 	 -0.4521456 	 0.2965612 	 0.02906597 	 0.2508479 	 0.9362153 	 0.1750281 	 -159.1918 	 -8791.847 	Poor
SEMA6A 	 0 	 -0.1636166 	 0.4858555 	 0.08517835 	 1 	 0.4169597 	 0.1750281 	 0.1625367 	 0.3096505 	 0.01297002 	 -154.2999 	 -9267.104 	Poor
GAL 	 0.1538462 	 0.3798227 	 0.4730759 	 0.1068148 	 0.3065346 	 0.266192 	 0.1750281 	 -0.1003808 	 0.9158003 	 0.0201948 	 -117.5154 	 -8249.259 	Poor
SALL4 	 0.1098901 	 0.100704 	 0.9468972 	 0.1750281 	 0.7226809 	 0.3402478 	 0.1738202 	 0.1230144 	 0.2583547 	 0.03715884 	 -153.0762 	 -8864.552 	Poor
HESX1 	 0.01098901 	 -0.5085637 	 0.4737302 	 0.1245893 	 0.1883623 	 0.936357 	 0.03593922 	 0.5892515 	 0.4871029 	 0.1442763 	 -183.4127 	 -9569.201 	Poor
