Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
TET1 	 U 	 Inf 	 0.1888889 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TET1 	 LR 	 0.1301156 	 0.1888889 	 0.6888471 	 1.564012 	 -110.971 	 -110.4492 	 0.3122774 	 -5055.81 	 -5055.798 	 6.38531 	 -126.9019 
TET1 	 N1 	 0.1897874 	 0.1888889 	 1.004757 	 1.57556 	 -100.263 	 -99.17208 	 0.4365111 	 -6151.493 	 -6151.469 	 2.132751 	 -152.844 
TET1 	 N2 	 0.2106386 	 0.1888889 	 1.115145 	 1.615618 	 -95.18659 	 -90.76553 	 0.4212771 	 -8537.941 	 -8537.856 	 0.1954121 	 -205.6553 
TET1 	 N3 	 0.2480899 	 0.1888889 	 1.313417 	 1.666583 	 -89.15724 	 -77.90724 	 0.4217529 	 -8459.849 	 -8459.668 	 0.2100047 	 -190.9539 
PHC1 	 U 	 Inf 	 0.1970085 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
PHC1 	 LR 	 0.2498286 	 0.1970085 	 1.26811 	 1.564012 	 -94.00981 	 -93.48807 	 0.5995886 	 -3881.157 	 -3881.145 	 20.64512 	 -96.39143 
PHC1 	 N1 	 0.2171459 	 0.1970085 	 1.102216 	 1.57556 	 -96.7617 	 -95.67079 	 0.4994356 	 -4934.441 	 -4934.417 	 7.194013 	 -121.2322 
PHC1 	 N2 	 0.4488554 	 0.1970085 	 2.278355 	 1.615618 	 -75.5161 	 -71.09505 	 0.8977107 	 -6732.824 	 -6732.739 	 1.186098 	 -158.7692 
PHC1 	 N3 	 0.5356489 	 0.1970085 	 2.718912 	 1.666583 	 -69.14536 	 -57.89536 	 0.9106031 	 -6792.223 	 -6792.041 	 1.111083 	 -147.6389 
SNAI2 	 U 	 Inf 	 0.1179487 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SNAI2 	 LR 	 0.3944072 	 0.1179487 	 3.343887 	 1.564012 	 -82.13798 	 -81.61624 	 0.9465772 	 -3635.466 	 -3635.454 	 26.38841 	 -90.00984 
SNAI2 	 N1 	 0.448567 	 0.1179487 	 3.803068 	 1.57556 	 -77.899 	 -76.80809 	 1.031704 	 -6455.255 	 -6455.231 	 1.574527 	 -160.7339 
SNAI2 	 N2 	 0.4908944 	 0.1179487 	 4.161931 	 1.615618 	 -73.18836 	 -68.76731 	 0.9817889 	 -6801.556 	 -6801.471 	 1.10739 	 -160.5544 
SNAI2 	 N3 	 0.6045841 	 0.1179487 	 5.125822 	 1.666583 	 -65.99775 	 -54.74775 	 1.027793 	 -6493.587 	 -6493.405 	 1.497314 	 -139.8821 
FOXD1 	 U 	 Inf 	 0.1987179 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
