Gene	Baseline	Scale1	Mean1	Stdev1	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.5804265 	 0.6441273 	 0.1812029 	 -99.17208 	 -6151.469 	Good
PHC1 	 0.5581395 	 0.4131441 	 0.7511519 	 0.08039725 	 -95.67079 	 -4934.417 	Good
SNAI2 	 0.7906977 	 -0.7431503 	 0.3150361 	 0.0773314 	 -76.80809 	 -6455.231 	Poor
FOXD1 	 0.8139535 	 -0.6581427 	 0.4806682 	 0.1812029 	 -99.56641 	 -5655.824 	Good
CD44 	 1 	 -0.5900198 	 0.7222142 	 0.1812029 	 -104.8156 	 -5304.423 	Good
GABRB3 	 0.02325581 	 1 	 0.8572519 	 0.09937185 	 -108.3976 	 -7977.478 	Good
SOX2 	 0.06976744 	 0.9316487 	 0.6844719 	 0.1812029 	 -91.56558 	 -6144.706 	Good
ZNF281 	 0.9767442 	 0.1017978 	 0.9978043 	 0.01262832 	 -112.1843 	 -4717.577 	Poor
SP1 	 0.8139535 	 0.1718182 	 0.6335882 	 0.1812029 	 -108.1304 	 -6435.071 	Poor
LEFTY1 	 0.02325581 	 0.4743704 	 0.580053 	 0.1812029 	 -100.0792 	 -7176.081 	Good
SET 	 0.9767442 	 0.1017438 	 0.9978043 	 0.01232578 	 -155.592 	 -5798.282 	Good
UTF1 	 0.02325581 	 0.7973057 	 0.3158269 	 0.08097123 	 -62.39713 	 -4736.486 	Poor
CDH2..NCAD. 	 0.9302326 	 -0.1001478 	 0.04646722 	 0.08717884 	 -105.1721 	 -4931.468 	Good
HNF4A 	 0 	 0.1467222 	 0.3296253 	 0.1056539 	 -114.8049 	 -6496.713 	Good
TGFBR2 	 0.9302326 	 -0.6942973 	 0.2783507 	 0.1553171 	 -77.83575 	 -6228.128 	Poor
DUSP10 	 0.3488372 	 -0.309925 	 0.2488001 	 0.0302412 	 -112.4493 	 -7358.24 	Good
MYC 	 0.4883721 	 0.276442 	 0.1046019 	 0.04913225 	 -44.75795 	 -3607.465 	Poor
ZFP42..REX1. 	 0.02325581 	 0.9874792 	 0.7052334 	 0.1539664 	 -95.55303 	 -7470.757 	Good
TRIM28 	 0.9302326 	 0.1001903 	 0.5615918 	 0.1812029 	 -146.889 	 -7839.659 	Good
CD48 	 0 	 0.1005394 	 0.9978043 	 0.01759862 	 -121.334 	 -5701.679 	Poor
CDKN1A 	 0.9767442 	 -0.6016199 	 0.5915676 	 0.1812029 	 -94.1521 	 -6478.359 	Good
JMJD3 	 0.3488372 	 -0.1008678 	 0.099871 	 0.0573602 	 -91.66991 	 -5335.95 	Good
RNF2 	 0.8139535 	 0.1838515 	 0.8160523 	 0.1280658 	 -110.454 	 -4942.778 	Good
LATS2 	 0.7906977 	 -0.2374468 	 0.141946 	 0.0371771 	 -85.04205 	 -4444.725 	Good
FGF2 	 0.9534884 	 -0.3066707 	 0.1505875 	 0.05631204 	 -85.01319 	 -4218.604 	Poor
LCK 	 0 	 0.868789 	 0.8844818 	 0.1812029 	 -106.4785 	 -5418.644 	Good
KLF5 	 0.3488372 	 0.2132475 	 0.2595601 	 0.02784104 	 -75.7917 	 -4709.572 	Poor
KLF4 	 0.7906977 	 -0.3115251 	 0.1125791 	 0.05664895 	 -87.78084 	 -6323.233 	Good
NACC1 	 0.8837209 	 0.1002973 	 0.5222646 	 0.1812029 	 -119.1617 	 -7888.646 	Poor
DNMT3L 	 0 	 0.4722113 	 0.5732529 	 0.065368 	 -67.01401 	 -5374.988 	Poor
EZH2 	 0.06976744 	 0.5934943 	 0.9250847 	 0.05729768 	 -105.8463 	 -5881.934 	Poor
EED 	 0.2790698 	 -0.1027838 	 0.9978043 	 0.009664155 	 -97.06992 	 -6480.253 	Good
