Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.138443 	 0.2915308 	 0.01384967 	 0.4633316 	 0.7375903 	 0.1274134 	 -90.76553 	 -8537.856 	Good
PHC1 	 0.5581395 	 0.6019239 	 0.7036517 	 0.1271211 	 -0.169727 	 0.2839325 	 0.05847907 	 -71.09505 	 -6732.739 	Poor
SNAI2 	 0.7906977 	 -0.6386343 	 0.2952483 	 0.05707197 	 -0.1137535 	 0.4906864 	 0.03254008 	 -68.76731 	 -6801.471 	Poor
FOXD1 	 0.8139535 	 -0.5281754 	 0.6275634 	 0.1812029 	 -0.1971406 	 0.224573 	 0.02601671 	 -88.26997 	 -7019.014 	Good
CD44 	 1 	 -0.4055154 	 0.7502089 	 0.08133666 	 -0.1182296 	 0.1796646 	 0.02937498 	 -97.49462 	 -7199.363 	Good
GABRB3 	 0.02325581 	 0.999369 	 0.8636307 	 0.1096351 	 0.1001882 	 0.9418984 	 0.05396249 	 -101.0747 	 -8218.844 	Good
SOX2 	 0.06976744 	 0.771327 	 0.7044647 	 0.1279604 	 0.1085608 	 0.2109716 	 0.06582221 	 -88.73278 	 -7422.056 	Good
ZNF281 	 0.9767442 	 -0.1428255 	 0.1615724 	 0.03645408 	 0.1887145 	 0.7601654 	 0.1812029 	 -105.2027 	 -8725.439 	Poor
SP1 	 0.8139535 	 -0.1263472 	 0.1531252 	 0.03030619 	 0.2623183 	 0.3753808 	 0.1812029 	 -94.22552 	 -6866.916 	Poor
LEFTY1 	 0.02325581 	 1 	 0.5436277 	 0.1372485 	 -0.5351412 	 0.524786 	 0.0832638 	 -89.26491 	 -7712.407 	Good
SET 	 0.9767442 	 0.1660042 	 0.3516525 	 0.04427996 	 -0.1424005 	 0.1587826 	 0.04984049 	 -134.1861 	 -10538.4 	Poor
UTF1 	 0.02325581 	 0.8911959 	 0.335695 	 0.102616 	 -0.5099995 	 0.9217036 	 0.08979649 	 -73.86587 	 -6752.744 	Poor
CDH2..NCAD. 	 0.9302326 	 -1 	 0.3448112 	 0.1812029 	 0.893366 	 0.3751322 	 0.08396088 	 -97.61009 	 -6751.819 	Good
HNF4A 	 0 	 0.3347094 	 0.485815 	 0.1812029 	 -0.3050355 	 0.7652212 	 0.1641914 	 -107.665 	 -8490.289 	Good
TGFBR2 	 0.9302326 	 -0.1422585 	 0.6285016 	 0.06864764 	 -0.5799052 	 0.2358849 	 0.09575201 	 -70.70465 	 -7204.607 	Poor
DUSP10 	 0.3488372 	 0.1002504 	 0.9978043 	 0.1714873 	 -0.3207402 	 0.2513875 	 0.03305028 	 -101.3151 	 -7380.999 	Good
MYC 	 0.4883721 	 0.4029088 	 0.1637711 	 0.1204078 	 -0.9514705 	 0.9277725 	 0.1154475 	 -66.58469 	 -7298.896 	Poor
ZFP42..REX1. 	 0.02325581 	 0.3223354 	 0.8333237 	 0.05840679 	 0.6248316 	 0.6202626 	 0.1022196 	 -84.91951 	 -7964.163 	Good
TRIM28 	 0.9302326 	 -0.6329608 	 0.2417634 	 0.09259903 	 0.7024357 	 0.2625308 	 0.1120214 	 -142.2431 	 -9636.106 	Good
CD48 	 0 	 0.1006845 	 0.3261517 	 0.03371465 	 -0.1008971 	 0.8144525 	 0.1812029 	 -122.7414 	 -8867.634 	Good
CDKN1A 	 0.9767442 	 -0.5139739 	 0.6545443 	 0.1511645 	 -0.1002448 	 0.1435364 	 0.05719818 	 -88.69349 	 -7758.498 	Good
JMJD3 	 0.3488372 	 0.8971366 	 0.3262131 	 0.05936999 	 -1 	 0.3053273 	 0.1101465 	 -77.97651 	 -5948.236 	Poor
RNF2 	 0.8139535 	 0.3401733 	 0.5485039 	 0.1812029 	 -0.2063606 	 0.2039137 	 0.02024278 	 -88.62945 	 -7735.114 	Poor
LATS2 	 0.7906977 	 -0.4650071 	 0.1945614 	 0.07275355 	 0.3857898 	 0.5597808 	 0.1812029 	 -70.41611 	 -7594.553 	Poor
FGF2 	 0.9534884 	 0.4252838 	 0.7645741 	 0.136224 	 -0.4528193 	 0.1978825 	 0.09734096 	 -74.43967 	 -7606.749 	Poor
LCK 	 0 	 0.1538526 	 0.3378642 	 0.1812029 	 0.6979679 	 0.9215221 	 0.08846548 	 -110.7361 	 -8237.449 	Good
KLF5 	 0.3488372 	 1 	 0.3152865 	 0.09473851 	 -0.9035012 	 0.4111357 	 0.1812029 	 -63.94198 	 -7328.78 	Poor
KLF4 	 0.7906977 	 -0.3040744 	 0.1108085 	 0.05386398 	 -0.1004108 	 0.9365383 	 0.05977272 	 -81.01399 	 -6507.76 	Good
NACC1 	 0.8837209 	 -0.9210784 	 0.4785116 	 0.05002892 	 1 	 0.4759934 	 0.05661346 	 -111.2017 	 -8310.323 	Poor
DNMT3L 	 0 	 0.5761501 	 0.5982909 	 0.08745059 	 -0.3428213 	 0.9164472 	 0.03561782 	 -72.63134 	 -8318.953 	Poor
EZH2 	 0.06976744 	 -0.1000692 	 0.2118085 	 0.1812029 	 0.8625895 	 0.9349388 	 0.1041984 	 -99.31964 	 -7492.424 	Poor
EED 	 0.2790698 	 0.9825634 	 0.2612396 	 0.05418917 	 -1 	 0.2561114 	 0.04079511 	 -86.47323 	 -7789.569 	Good
