Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.1156265 	 0.2905044 	 0.009788881 	 0.100197 	 0.5492584 	 0.1812029 	 0.378694 	 0.7546259 	 0.1084587 	 -77.90724 	 -8459.668 	Good
PHC1 	 0.5581395 	 0.7932111 	 0.6590833 	 0.1781991 	 -0.1005102 	 0.4896947 	 0.012323 	 -0.2330622 	 0.3007225 	 0.06660169 	 -57.89536 	 -6792.041 	Poor
SNAI2 	 0.7906977 	 -0.1002986 	 0.9823291 	 0.04097674 	 -0.7522037 	 0.3165773 	 0.07965337 	 0.1535265 	 0.9943756 	 0.1098441 	 -54.74775 	 -6493.405 	Poor
FOXD1 	 0.8139535 	 -0.443367 	 0.9754075 	 0.1812029 	 -0.2454854 	 0.2348906 	 0.03520828 	 -0.2828031 	 0.5601929 	 0.05709594 	 -72.19408 	 -7803.275 	Good
CD44 	 1 	 0.1004104 	 0.8192369 	 0.1572539 	 0.2926305 	 0.7040393 	 0.1457831 	 -0.9950143 	 0.7320961 	 0.1812029 	 -82.64678 	 -5302.586 	Good
GABRB3 	 0.02325581 	 0.3781267 	 0.7608631 	 0.06345037 	 0.4477472 	 0.8851034 	 0.04350341 	 0.1000625 	 0.9460176 	 0.009664155 	 -88.0921 	 -8514.868 	Poor
SOX2 	 0.06976744 	 0.2240163 	 0.3041367 	 0.1125428 	 -0.2195013 	 0.4077985 	 0.04307505 	 0.9118556 	 0.6855928 	 0.1656028 	 -74.2994 	 -8093.674 	Good
ZNF281 	 0.9767442 	 -0.1570837 	 0.1662515 	 0.04309728 	 0.3201879 	 0.665162 	 0.1812029 	 -0.1254345 	 0.5999807 	 0.09631991 	 -92.83801 	 -8885.595 	Poor
SP1 	 0.8139535 	 -0.1951339 	 0.1897459 	 0.06174767 	 1 	 0.501254 	 0.1812029 	 -0.6218446 	 0.5420531 	 0.09812692 	 -79.60642 	 -8357.769 	Poor
LEFTY1 	 0.02325581 	 0.3842285 	 0.2882786 	 0.04922413 	 -0.2498878 	 0.2588625 	 0.02557914 	 0.3343096 	 0.6640612 	 0.1126431 	 -77.321 	 -8359.216 	Good
