Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
Tet1 	 U 	 Inf 	 0.1190476 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
Tet1 	 LR 	 0.1410302 	 0.1190476 	 1.184654 	 1.539686 	 -117.3933 	 -116.9133 	 0.3666785 	 -5944.176 	 -5944.164 	 2.628782 	 -161.9026 
Tet1 	 N1 	 0.1270685 	 0.1190476 	 1.067375 	 1.549845 	 -119.4104 	 -118.4104 	 0.3176712 	 -6190.821 	 -6190.797 	 2.050583 	 -166.3377 
Tet1 	 N2 	 0.1528899 	 0.1190476 	 1.284275 	 1.584657 	 -111.81 	 -107.81 	 0.3363578 	 -8036.334 	 -8036.25 	 0.3225365 	 -209.1282 
Tet1 	 N3 	 0.1892027 	 0.1190476 	 1.589303 	 1.627977 	 -103.948 	 -93.94804 	 0.3594851 	 -8782.244 	 -8782.063 	 0.152179 	 -218.1607 
PHC1 	 U 	 Inf 	 0.1845238 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
PHC1 	 LR 	 0.198018 	 0.1845238 	 1.07313 	 1.539686 	 -107.8905 	 -107.4105 	 0.5148469 	 -4382.645 	 -4382.633 	 12.50955 	 -118.2234 
PHC1 	 N1 	 0.246066 	 0.1845238 	 1.333519 	 1.549845 	 -100.9059 	 -99.90594 	 0.615165 	 -5051.615 	 -5051.591 	 6.399326 	 -134.4717 
PHC1 	 N2 	 0.2776095 	 0.1845238 	 1.504465 	 1.584657 	 -95.10803 	 -91.10803 	 0.610741 	 -7357.471 	 -7357.386 	 0.6354932 	 -190.139 
PHC1 	 N3 	 0.3253015 	 0.1845238 	 1.762924 	 1.627977 	 -88.7739 	 -78.7739 	 0.6180728 	 -7632.669 	 -7632.488 	 0.4798549 	 -186.0047 
SNAI2 	 U 	 Inf 	 0.1642857 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SNAI2 	 LR 	 0.1567985 	 0.1642857 	 0.9544255 	 1.539686 	 -114.4256 	 -113.9456 	 0.4076761 	 -4224.918 	 -4224.906 	 14.64445 	 -113.8114 
SNAI2 	 N1 	 0.2026508 	 0.1642857 	 1.233527 	 1.549845 	 -106.3412 	 -105.3412 	 0.5066271 	 -6743.873 	 -6743.849 	 1.180131 	 -181.8076 
SNAI2 	 N2 	 0.2395762 	 0.1642857 	 1.45829 	 1.584657 	 -99.23367 	 -95.23367 	 0.5270676 	 -7742.407 	 -7742.323 	 0.4326155 	 -200.9065 
SNAI2 	 N3 	 0.294741 	 0.1642857 	 1.794076 	 1.627977 	 -91.53625 	 -81.53625 	 0.5600079 	 -7899.365 	 -7899.183 	 0.3676219 	 -193.4647 
FOXD1 	 U 	 Inf 	 0.2373016 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
FOXD1 	 LR 	 0.3239493 	 0.2373016 	 1.365138 	 1.539686 	 -94.10811 	 -93.62811 	 0.8422683 	 -4324.561 	 -4324.549 	 13.2569 	 -116.5986 
FOXD1 	 N1 	 0.4814582 	 0.2373016 	 2.028887 	 1.549845 	 -82.11179 	 -81.11179 	 1.203645 	 -5314.443 	 -5314.419 	 4.921565 	 -141.8236 
FOXD1 	 N2 	 0.5193036 	 0.2373016 	 2.18837 	 1.584657 	 -77.57238 	 -73.57238 	 1.142468 	 -5596.222 	 -5596.137 	 3.69188 	 -140.8733 
FOXD1 	 N3 	 0.6356371 	 0.2373016 	 2.678604 	 1.627977 	 -70.01739 	 -60.01739 	 1.20771 	 -7948.809 	 -7948.627 	 0.3499044 	 -194.8478 
CD44 	 U 	 Inf 	 0.1186508 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CD44 	 LR 	 0.2175571 	 0.1186508 	 1.833592 	 1.539686 	 -105.2556 	 -104.7756 	 0.5656485 	 -4978.689 	 -4978.677 	 6.896704 	 -134.8959 
CD44 	 N1 	 0.3100637 	 0.1186508 	 2.613246 	 1.549845 	 -94.43295 	 -93.43295 	 0.7751593 	 -7890.224 	 -7890.2 	 0.3754684 	 -213.8734 
