Gene	Baseline	Scale1	Mean1	Stdev1	AICC	FineAICC	Passes F-Test?
Tet1 	 0 	 0.2116894 	 0.4354564 	 0.06480041 	 -118.4104 	 -6190.797 	Good
PHC1 	 0.4264706 	 0.5328816 	 0.6393951 	 0.1149246 	 -99.90594 	 -5051.591 	Good
SNAI2 	 0.75 	 -0.70112 	 0.3038797 	 0.1162439 	 -105.3412 	 -6743.849 	Good
FOXD1 	 0.6911765 	 -0.5541316 	 0.7731644 	 0.1368441 	 -81.11179 	 -5314.419 	Poor
CD44 	 1 	 -0.5483319 	 0.8147859 	 0.1774006 	 -93.43295 	 -7890.2 	Poor
GABRB3 	 0.05882353 	 1 	 0.8499552 	 0.1397671 	 -65.39344 	 -5859.307 	Poor
SOX2 	 0.04411765 	 0.9509048 	 0.6962563 	 0.1774006 	 -110.7618 	 -6838.149 	Good
ZNF281 	 0.9117647 	 0.10014 	 0.7727211 	 0.1774006 	 -142.4637 	 -6843.26 	Good
SP1 	 0.8382353 	 0.1407516 	 0.2922759 	 0.1774006 	 -133.1469 	 -7030.561 	Good
LEFTY1 	 0 	 0.6262522 	 0.5012445 	 0.1774006 	 -93.37793 	 -5910.646 	Poor
SET 	 0.9264706 	 0.1006915 	 0.7403115 	 0.1774006 	 -142.892 	 -6938.523 	Good
CBX7 	 0.05882353 	 -0.1000624 	 0.8153014 	 0.1774006 	 -159.9687 	 -6484.286 	Good
UTF1 	 0.02941176 	 0.806175 	 0.3638475 	 0.08428882 	 -58.12778 	 -5138.763 	Poor
CDH2_NCAD 	 0.8088235 	 -0.1005516 	 0.9152532 	 0.1047464 	 -109.0956 	 -4910.474 	Good
HNF4A 	 0 	 0.1671463 	 0.1888044 	 0.04070586 	 -121.5796 	 -5562.463 	Good
TGFBR2 	 0.9558824 	 -0.5830535 	 0.4233693 	 0.1774006 	 -96.45753 	 -5223.263 	Good
DUSP10 	 0.1911765 	 -0.1688703 	 0.3037072 	 0.0415245 	 -122.7674 	 -7948.683 	Good
MYC 	 0.08823529 	 -0.1000712 	 0.7576619 	 0.152808 	 -111.9624 	 -6772.247 	Poor
