Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	AICC	FineAICC	Passes F-Test?
Tet1 	 0 	 0.1761559 	 0.4185522 	 0.04841809 	 0.1783499 	 0.9068166 	 0.03771011 	 -107.81 	 -8036.25 	Good
PHC1 	 0.4264706 	 0.7913453 	 0.5589194 	 0.1774006 	 -0.2442206 	 0.1949857 	 0.0727273 	 -91.10803 	 -7357.386 	Good
SNAI2 	 0.75 	 -0.5042623 	 0.2528438 	 0.06078195 	 -0.2085124 	 0.4812923 	 0.08535347 	 -95.23367 	 -7742.323 	Good
FOXD1 	 0.6911765 	 0.559511 	 0.441626 	 0.07270805 	 -1 	 0.5540685 	 0.1774006 	 -73.57238 	 -5596.137 	Poor
CD44 	 1 	 -0.1001299 	 0.5107679 	 0.1774006 	 -0.4662868 	 0.8683015 	 0.1391459 	 -85.80442 	 -8543.759 	Poor
GABRB3 	 0.05882353 	 0.105682 	 0.3308489 	 0.1219747 	 0.8433221 	 0.8633098 	 0.09368613 	 -58.69131 	 -7798.012 	Poor
SOX2 	 0.04411765 	 0.7781955 	 0.7574842 	 0.136492 	 0.1828312 	 0.392152 	 0.09324315 	 -97.9052 	 -8554.289 	Good
ZNF281 	 0.9117647 	 -0.7306459 	 0.1962761 	 0.09898301 	 0.7788542 	 0.2282175 	 0.1169969 	 -129.9014 	 -8604.514 	Good
SP1 	 0.8382353 	 0.1037057 	 0.2229102 	 0.0525059 	 0.1002447 	 0.8379373 	 0.1774006 	 -127.7821 	 -7696.297 	Good
LEFTY1 	 0 	 0.2615181 	 0.2735784 	 0.09131468 	 0.3675281 	 0.6415548 	 0.06155635 	 -83.71741 	 -7871.754 	Poor
SET 	 0.9264706 	 0.1009595 	 0.9873415 	 0.009461363 	 0.1587362 	 0.9388999 	 0.1774006 	 -132.5523 	 -6613.882 	Good
CBX7 	 0.05882353 	 -1 	 0.4163146 	 0.118898 	 0.9576587 	 0.395697 	 0.1412651 	 -144.4346 	 -9269.751 	Good
UTF1 	 0.02941176 	 -0.5465292 	 0.9454529 	 0.1170377 	 0.9018547 	 0.3814545 	 0.1018475 	 -43.54686 	 -8406.528 	Poor
CDH2_NCAD 	 0.8088235 	 1 	 0.3319749 	 0.1058152 	 -0.9994939 	 0.3580086 	 0.1774006 	 -97.16792 	 -7031.111 	Poor
HNF4A 	 0 	 -0.1894365 	 0.7727544 	 0.09353973 	 0.2301717 	 0.2206878 	 0.07387026 	 -101.5177 	 -7936.294 	Poor
TGFBR2 	 0.9558824 	 -0.2832862 	 0.2201168 	 0.04858482 	 -0.3466356 	 0.6446181 	 0.09111591 	 -96.13097 	 -7297.798 	Good
DUSP10 	 0.1911765 	 0.100311 	 0.9817001 	 0.1055427 	 -0.1783321 	 0.311384 	 0.0500209 	 -112.553 	 -8375.913 	Poor
MYC 	 0.08823529 	 0.10007 	 0.1730276 	 0.09781669 	 -0.1703954 	 0.489057 	 0.1774006 	 -109.9829 	 -8368.294 	Poor
ZFP42_REX1 	 0.01470588 	 0.1685217 	 0.3867661 	 0.04397459 	 0.8053857 	 0.6533364 	 0.1009487 	 -93.22591 	 -8665.868 	Good
TRIM28 	 0.8676471 	 -0.4201906 	 0.521765 	 0.1148438 	 0.5575187 	 0.4942166 	 0.1774006 	 -133.2047 	 -9111.437 	Good
CD48 	 0 	 0.1219308 	 0.2538218 	 0.06163964 	 -0.1202975 	 0.8577923 	 0.08356099 	 -121.0277 	 -8415.742 	Poor
CDKN1A 	 1 	 -1 	 0.476123 	 0.1774006 	 0.5184041 	 0.4133796 	 0.1031783 	 -102.2241 	 -7956.84 	Good
JMJD3 	 0.3235294 	 0.1237634 	 0.3830268 	 0.05564665 	 -0.1005069 	 0.1056947 	 0.1772718 	 -102.389 	 -6940.537 	Good
RNF2 	 0.6617647 	 -0.321787 	 0.2762013 	 0.03694295 	 0.5984814 	 0.3906939 	 0.1774006 	 -98.98388 	 -6664.038 	Good
LATS2 	 0.7352941 	 0.2716401 	 0.6993617 	 0.1177167 	 -0.1867145 	 0.1728665 	 0.09926248 	 -95.37653 	 -7856.384 	Good
FGF2 	 0.8970588 	 -0.2142364 	 0.310453 	 0.1774006 	 0.2484824 	 0.8152415 	 0.07065056 	 -88.72825 	 -6429.702 	Poor
LCK 	 0 	 0.4404886 	 0.9245324 	 0.06789749 	 0.2431763 	 0.3888407 	 0.1470361 	 -95.51886 	 -8476.118 	Good
KLF5 	 0.3823529 	 0.6427516 	 0.2619181 	 0.05819496 	 -0.2884599 	 0.5338177 	 0.1774006 	 -59.63955 	 -6381.443 	Poor
KLF4 	 0.7941176 	 -0.2204389 	 0.9261684 	 0.04818938 	 -0.1591089 	 0.1268295 	 0.05078036 	 -80.21146 	 -6186.629 	Poor
