Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
Tet1 	 0 	 0.2963844 	 0.8923138 	 0.05982125 	 -0.1506082 	 0.7633736 	 0.1392502 	 0.2186544 	 0.4365476 	 0.06342124 	 -93.94804 	 -8782.063 	Good
PHC1 	 0.4264706 	 -0.4389794 	 0.2425731 	 0.09969174 	 0.5335935 	 0.3901848 	 0.1293415 	 0.4901226 	 0.6778987 	 0.1774006 	 -78.7739 	 -7632.488 	Poor
SNAI2 	 0.75 	 0.1005225 	 0.778313 	 0.1774006 	 -0.3217891 	 0.4866196 	 0.137962 	 -0.4565019 	 0.2490462 	 0.0585417 	 -81.53625 	 -7899.183 	Poor
FOXD1 	 0.6911765 	 -0.6278378 	 0.7884713 	 0.1774006 	 1 	 0.3540004 	 0.08599635 	 -0.987431 	 0.3287671 	 0.1366536 	 -60.01739 	 -7948.627 	Poor
CD44 	 1 	 -0.5786762 	 0.8639263 	 0.1774006 	 -0.3048376 	 0.3246226 	 0.08849367 	 0.268922 	 0.3326431 	 0.070287 	 -73.56408 	 -9006.783 	Poor
GABRB3 	 0.05882353 	 0.1652967 	 0.4240741 	 0.1774006 	 0.9272906 	 0.8622533 	 0.1117147 	 -0.1002682 	 0.6091602 	 0.0202849 	 -45.28319 	 -8214.758 	Poor
SOX2 	 0.04411765 	 0.5608814 	 0.7366203 	 0.09557271 	 0.1007184 	 0.8887188 	 0.01376385 	 0.2513095 	 0.4316982 	 0.1151836 	 -86.01668 	 -8725.948 	Good
ZNF281 	 0.9117647 	 -0.6132703 	 0.5782132 	 0.1389599 	 -0.1007101 	 0.1589511 	 0.03446355 	 0.7836735 	 0.5435457 	 0.1774006 	 -117.2377 	 -8966.27 	Good
SP1 	 0.8382353 	 -0.3662797 	 0.4200322 	 0.07331931 	 0.4296802 	 0.3641603 	 0.1163641 	 0.100698 	 0.6288763 	 0.08137648 	 -114.6777 	 -9156.158 	Good
LEFTY1 	 0 	 0.2487443 	 0.2664465 	 0.08122942 	 -0.1981328 	 0.8237578 	 0.1244439 	 0.5198515 	 0.6640883 	 0.08543534 	 -71.95974 	 -8438.846 	Poor
SET 	 0.9264706 	 0.5385888 	 0.3591323 	 0.09239536 	 0.1005751 	 0.7111719 	 0.1167306 	 -0.5615996 	 0.3728632 	 0.1488308 	 -115.166 	 -8657.511 	Poor
CBX7 	 0.05882353 	 -0.2722914 	 0.3541826 	 0.1057443 	 0.5333595 	 0.2092543 	 0.0787007 	 -0.3073975 	 0.1839558 	 0.0583585 	 -132.6739 	 -9374.634 	Good
UTF1 	 0.02941176 	 0.8028024 	 0.3844195 	 0.09478531 	 -0.5520334 	 0.9462706 	 0.1182781 	 0.1007444 	 0.351057 	 0.1774006 	 -31.68346 	 -8460.743 	Poor
CDH2_NCAD 	 0.8088235 	 1 	 0.9873415 	 0.1774006 	 -0.9677765 	 0.898183 	 0.1774006 	 0.1443396 	 0.3367665 	 0.03505023 	 -83.89302 	 -6384.04 	Poor
HNF4A 	 0 	 0.2221543 	 0.2131785 	 0.06280753 	 0.1314382 	 0.5107422 	 0.03325976 	 -0.332872 	 0.6932844 	 0.1774006 	 -89.14937 	 -9077.333 	Poor
TGFBR2 	 0.9558824 	 -0.2858607 	 0.2208406 	 0.04920217 	 -0.166887 	 0.5829433 	 0.03458159 	 -0.193626 	 0.7326007 	 0.09919034 	 -83.18438 	 -7582.216 	Good
DUSP10 	 0.1911765 	 -0.931784 	 0.5348663 	 0.1469937 	 1 	 0.5362384 	 0.1774006 	 -0.2048021 	 0.2873251 	 0.03727552 	 -98.87832 	 -9126.69 	Poor
MYC 	 0.08823529 	 -0.1933635 	 0.4996361 	 0.1005242 	 -0.1004771 	 0.9734733 	 0.1774006 	 0.1576212 	 0.3873299 	 0.1774006 	 -96.6405 	 -7762.888 	Poor
ZFP42_REX1 	 0.01470588 	 0.2119002 	 0.3987994 	 0.05078411 	 0.2597656 	 0.7559007 	 0.05991911 	 0.5012141 	 0.6172281 	 0.06062861 	 -81.6893 	 -8914.672 	Poor
TRIM28 	 0.8676471 	 -0.4292407 	 0.5207461 	 0.09169474 	 0.6624468 	 0.4637884 	 0.1612436 	 -0.1008487 	 0.3254066 	 0.05693963 	 -121.0986 	 -9235.301 	Good
CD48 	 0 	 -0.1002214 	 0.393305 	 0.02330134 	 0.2303664 	 0.3270911 	 0.1020822 	 -0.1571811 	 0.8791864 	 0.1205354 	 -108.5525 	 -8594.554 	Poor
CDKN1A 	 1 	 -0.1003812 	 0.946359 	 0.02901013 	 -0.3419714 	 0.6108544 	 0.08894849 	 -0.1004657 	 0.1961782 	 0.08226564 	 -90.10998 	 -8787.417 	Good
JMJD3 	 0.3235294 	 0.3905146 	 0.3708504 	 0.1001968 	 -0.3804191 	 0.3194407 	 0.1774006 	 0.1003602 	 0.9873415 	 0.04237634 	 -91.28149 	 -6584.167 	Good
RNF2 	 0.6617647 	 1 	 0.2850243 	 0.1169233 	 0.1786222 	 0.7588374 	 0.09413331 	 -0.8462178 	 0.2634563 	 0.06493865 	 -87.81201 	 -8173.568 	Poor
LATS2 	 0.7352941 	 0.8431189 	 0.557689 	 0.1774006 	 -0.9669277 	 0.3919388 	 0.1752563 	 0.2165711 	 0.3464597 	 0.06716437 	 -83.41743 	 -7951.066 	Good
FGF2 	 0.8970588 	 -0.1571372 	 0.1488944 	 0.07304281 	 -0.788764 	 0.5504565 	 0.09255299 	 1 	 0.6172747 	 0.1774006 	 -72.69593 	 -8123.954 	Poor
LCK 	 0 	 0.1285635 	 0.4751862 	 0.06309803 	 0.4623711 	 0.9259785 	 0.07253036 	 0.1070127 	 0.2576291 	 0.08301755 	 -83.15862 	 -8646.092 	Poor
