Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
TET1 	 U 	 Inf 	 0.1511574 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TET1 	 LR 	 0.1249699 	 0.1511574 	 0.8267532 	 1.395376 	 -208.3917 	 -208.125 	 0.5748614 	 -6213.057 	 -6213.045 	 2.009546 	 -293.8539 
TET1 	 N1 	 0.1373579 	 0.1511574 	 0.9087076 	 1.399485 	 -202.9099 	 -202.3644 	 0.6181105 	 -6892.145 	 -6892.121 	 1.017655 	 -324.2347 
TET1 	 N2 	 0.1374631 	 0.1511574 	 0.9094036 	 1.412735 	 -200.1848 	 -198.136 	 0.577345 	 -8837.33 	 -8837.245 	 0.1448966 	 -410.2947 
TET1 	 N3 	 0.1468492 	 0.1511574 	 0.9714983 	 1.427582 	 -194.5715 	 -189.8347 	 0.5727118 	 -9251.12 	 -9250.938 	 0.09526381 	 -421.7364 
PHC1 	 U 	 Inf 	 0.2006944 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
PHC1 	 LR 	 0.2755155 	 0.2006944 	 1.372811 	 1.395376 	 -170.4443 	 -170.1776 	 1.267371 	 -4380.767 	 -4380.755 	 12.53304 	 -205.9919 
PHC1 	 N1 	 0.3658124 	 0.2006944 	 1.822733 	 1.399485 	 -155.8924 	 -155.3469 	 1.646156 	 -5585.321 	 -5585.297 	 3.75474 	 -261.5699 
PHC1 	 N2 	 0.4407789 	 0.2006944 	 2.196269 	 1.412735 	 -144.2558 	 -142.207 	 1.851271 	 -8199.105 	 -8199.021 	 0.2741315 	 -379.6905 
PHC1 	 N3 	 0.4784654 	 0.2006944 	 2.384049 	 1.427582 	 -137.875 	 -133.1382 	 1.866015 	 -8269.387 	 -8269.205 	 0.2540173 	 -374.6603 
SNAI2 	 U 	 Inf 	 0.1444444 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SNAI2 	 LR 	 0.1939668 	 0.1444444 	 1.342847 	 1.395376 	 -187.2902 	 -187.0236 	 0.8922472 	 -4000.597 	 -4000.585 	 18.32301 	 -187.762 
SNAI2 	 N1 	 0.3406588 	 0.1444444 	 2.358407 	 1.399485 	 -159.3119 	 -158.7664 	 1.532965 	 -7248.541 	 -7248.517 	 0.7128112 	 -341.3246 
SNAI2 	 N2 	 0.3652013 	 0.1444444 	 2.528317 	 1.412735 	 -153.2843 	 -151.2355 	 1.533845 	 -8102.445 	 -8102.361 	 0.3019228 	 -375.0555 
SNAI2 	 N3 	 0.3985023 	 0.1444444 	 2.758862 	 1.427582 	 -146.6528 	 -141.9159 	 1.554159 	 -8372.594 	 -8372.413 	 0.2291319 	 -379.6093 
FOXD1 	 U 	 Inf 	 0.2231481 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
FOXD1 	 LR 	 0.34328 	 0.2231481 	 1.53835 	 1.395376 	 -159.889 	 -159.6223 	 1.579088 	 -5617.381 	 -5617.369 	 3.643663 	 -265.2901 
FOXD1 	 N1 	 0.3858156 	 0.2231481 	 1.728966 	 1.399485 	 -153.3369 	 -152.7915 	 1.73617 	 -5071.793 	 -5071.769 	 6.271616 	 -236.9451 
FOXD1 	 N2 	 0.3985448 	 0.2231481 	 1.78601 	 1.412735 	 -149.0905 	 -147.0417 	 1.673888 	 -7085.032 	 -7084.948 	 0.8342787 	 -326.2685 
FOXD1 	 N3 	 0.4447624 	 0.2231481 	 1.993126 	 1.427582 	 -141.3811 	 -136.6443 	 1.734573 	 -8355.027 	 -8354.845 	 0.2331887 	 -378.7669 
CD44 	 U 	 Inf 	 0.1319444 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CD44 	 LR 	 0.1846608 	 0.1319444 	 1.399535 	 1.395376 	 -189.6502 	 -189.3835 	 0.8494398 	 -5255.13 	 -5255.118 	 5.232445 	 -247.9194 
CD44 	 N1 	 0.2527047 	 0.1319444 	 1.915236 	 1.399485 	 -173.6475 	 -173.1021 	 1.137171 	 -6375.75 	 -6375.726 	 1.704684 	 -299.4725 
CD44 	 N2 	 0.2438752 	 0.1319444 	 1.848318 	 1.412735 	 -172.6663 	 -170.6175 	 1.024276 	 -7462.615 	 -7462.53 	 0.5721277 	 -344.3743 
CD44 	 N3 	 0.2940781 	 0.1319444 	 2.228802 	 1.427582 	 -161.2385 	 -156.5016 	 1.146904 	 -9553.838 	 -9553.656 	 0.07040292 	 -436.2524 
GABRB3 	 U 	 Inf 	 0.1585648 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
GABRB3 	 LR 	 0.3319957 	 0.1585648 	 2.093754 	 1.395376 	 -161.4933 	 -161.2267 	 1.52718 	 -3615.349 	 -3615.337 	 26.92408 	 -169.2885 
GABRB3 	 N1 	 0.6708651 	 0.1585648 	 4.230857 	 1.399485 	 -126.7829 	 -126.2375 	 3.018893 	 -7512.398 	 -7512.374 	 0.5476428 	 -353.9771 
GABRB3 	 N2 	 0.6325897 	 0.1585648 	 3.989471 	 1.412735 	 -126.9144 	 -124.8656 	 2.656877 	 -8512.305 	 -8512.22 	 0.2004813 	 -394.7091 
GABRB3 	 N3 	 0.7029423 	 0.1585648 	 4.433154 	 1.427582 	 -119.4098 	 -114.673 	 2.741475 	 -9046.706 	 -9046.525 	 0.1168463 	 -411.9344 
SOX2 	 U 	 Inf 	 0.2074074 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SOX2 	 LR 	 0.199162 	 0.2074074 	 0.9602455 	 1.395376 	 -186.0215 	 -185.7548 	 0.9161453 	 -4112.197 	 -4112.185 	 16.38997 	 -193.1134 
SOX2 	 N1 	 0.288267 	 0.2074074 	 1.389859 	 1.399485 	 -167.3276 	 -166.7822 	 1.297201 	 -6524.364 	 -6524.34 	 1.469489 	 -306.5989 
SOX2 	 N2 	 0.2692237 	 0.2074074 	 1.298043 	 1.412735 	 -167.9198 	 -165.871 	 1.13074 	 -8902.002 	 -8901.918 	 0.1358312 	 -413.3959 
SOX2 	 N3 	 0.2901573 	 0.2074074 	 1.398973 	 1.427582 	 -161.8827 	 -157.1459 	 1.131613 	 -9170.186 	 -9170.004 	 0.1032862 	 -417.8555 
ZNF281 	 U 	 Inf 	 0.07152778 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
ZNF281 	 LR 	 0.06791142 	 0.07152778 	 0.9494412 	 1.395376 	 -237.6654 	 -237.3987 	 0.3123925 	 -7029.432 	 -7029.42 	 0.8890068 	 -333.0008 
ZNF281 	 N1 	 0.07144832 	 0.07152778 	 0.9988891 	 1.399485 	 -234.2834 	 -233.738 	 0.3215174 	 -6476.869 	 -6476.845 	 1.540893 	 -304.3214 
ZNF281 	 N2 	 0.07721286 	 0.07152778 	 1.079481 	 1.412735 	 -227.8707 	 -225.8219 	 0.324294 	 -8353.054 	 -8352.97 	 0.2350533 	 -387.0727 
ZNF281 	 N3 	 0.08383111 	 0.07152778 	 1.172008 	 1.427582 	 -221.4804 	 -216.7436 	 0.3269413 	 -9379.226 	 -9379.044 	 0.08382004 	 -427.8794 
SP1 	 U 	 Inf 	 0.07314815 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SP1 	 LR 	 0.1032555 	 0.07314815 	 1.411594 	 1.395376 	 -217.5533 	 -217.2866 	 0.4749752 	 -8049.224 	 -8049.212 	 0.3209646 	 -381.9019 
SP1 	 N1 	 0.105376 	 0.07314815 	 1.440584 	 1.399485 	 -215.6325 	 -215.087 	 0.4741922 	 -7941.607 	 -7941.583 	 0.3566813 	 -374.5586 
SP1 	 N2 	 0.1206931 	 0.07314815 	 1.649981 	 1.412735 	 -206.4298 	 -204.381 	 0.5069109 	 -9094.78 	 -9094.695 	 0.1120369 	 -422.64 
