Gene	Baseline	Slope	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.36377 	 -208.125 	 -6213.045 	Good
PHC1 	 0.2534413 	 0.6713389 	 -170.1776 	 -4380.755 	Good
SNAI2 	 0.7381441 	 -0.9282849 	 -187.0236 	 -4000.585 	Good
FOXD1 	 0.806182 	 -0.616382 	 -159.6223 	 -5617.369 	Poor
CD44 	 1 	 -0.3309193 	 -189.3835 	 -5255.118 	Poor
GABRB3 	 0 	 0.4518192 	 -161.2267 	 -3615.337 	Poor
SOX2 	 0 	 0.7984263 	 -185.7548 	 -4112.185 	Good
ZNF281 	 0.8554575 	 0.1061454 	 -237.3987 	 -7029.42 	Good
SP1 	 0.8190397 	 0.1775416 	 -217.2866 	 -8049.212 	Poor
LEFTY1 	 0 	 0.5892471 	 -182.3756 	 -5606.69 	Good
SET 	 0.8916777 	 0.1256788 	 -268.8439 	 -6937.633 	Good
CBX7 	 0.06115004 	 -0.04833772 	 -285.8714 	 -8206.945 	Good
UTF1 	 0.0758677 	 1 	 -141.4658 	 -3374.186 	Poor
CDH2..NCAD. 	 0.7999511 	 0.05718438 	 -206.016 	 -5057.884 	Good
HNF4A 	 0.06876507 	 0.1010821 	 -221.7456 	 -5470.062 	Good
TGFBR2 	 0.9126599 	 -0.7790291 	 -165.719 	 -5379.628 	Poor
DUSP10 	 0.2296369 	 -0.2738537 	 -233.6372 	 -5619.781 	Good
MYC 	 0.4296062 	 -0.02669762 	 -82.13344 	 -4569.467 	Poor
ZFP42..REX1. 	 0 	 0.8221874 	 -183.9374 	 -3423.601 	Good
TRIM28 	 0.8911906 	 0.129847 	 -260.7176 	 -8507.587 	Good
CD48 	 0.03174473 	 0.05894069 	 -234.2859 	 -6636.566 	Poor
CDKN1A 	 1 	 -0.513979 	 -189.617 	 -5915.687 	Good
JMJD3 	 0.2533071 	 0.0602464 	 -178.6966 	 -6267.376 	Good
RNF2 	 0.6479176 	 0.3030121 	 -213.3704 	 -5484.836 	Good
LATS2 	 0.5606543 	 0.1269521 	 -166.3224 	 -4624.815 	Good
FGF2 	 0.7326657 	 0.01392406 	 -172.554 	 -4424.959 	Poor
LCK 	 0 	 0.3728211 	 -193.8807 	 -5208.564 	Good
KLF5 	 0.4892489 	 0.2536916 	 -144.9641 	 -3949.407 	Poor
KLF4 	 0.6469521 	 -0.1338177 	 -167.0961 	 -5951.939 	Good
NACC1 	 0.7650368 	 0.2402402 	 -218.2277 	 -7855.581 	Good
DNMT3L 	 0 	 0.573512 	 -176.7778 	 -3909.558 	Good
EZH2 	 0.1927145 	 0.1746619 	 -126.4757 	 -5402.859 	Poor
EED 	 0.285547 	 -0.02295257 	 -176.1324 	 -7031.356 	Good
SMARCC2 	 0.9400096 	 0.06131193 	 -291.0042 	 -7080.746 	Good
NODAL 	 0 	 0.4718527 	 -187.1468 	 -4352.444 	Good
