Gene	Baseline	Scale1	Mean1	Stdev1	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.3580921 	 0.5500685 	 0.1750281 	 -202.3644 	 -6892.121 	Good
PHC1 	 0.4725275 	 0.5042759 	 0.7028941 	 0.1092868 	 -155.3469 	 -5585.297 	Poor
SNAI2 	 0.8021978 	 -0.7619422 	 0.3042717 	 0.1077533 	 -158.7664 	 -7248.517 	Poor
FOXD1 	 0.7692308 	 -0.5611481 	 0.5762575 	 0.1750281 	 -152.7915 	 -5071.769 	Poor
CD44 	 1 	 -0.4964485 	 0.7509879 	 0.1750281 	 -173.1021 	 -6375.726 	Poor
GABRB3 	 0.04395604 	 1 	 0.8711272 	 0.1195685 	 -126.2375 	 -7512.374 	Poor
SOX2 	 0.04395604 	 0.941389 	 0.6831944 	 0.1750281 	 -166.7822 	 -6524.34 	Good
ZNF281 	 0.9230769 	 0.1003568 	 0.9144436 	 0.1215984 	 -233.738 	 -6476.845 	Good
SP1 	 0.8461538 	 0.139336 	 0.5727127 	 0.1750281 	 -215.087 	 -7941.583 	Poor
LEFTY1 	 0.01098901 	 0.55963 	 0.5433448 	 0.1750281 	 -182.5065 	 -6681.588 	Good
SET 	 0.9340659 	 0.100054 	 0.6553131 	 0.1750281 	 -268.5019 	 -6627.419 	Good
CBX7 	 0.04395604 	 -0.1009916 	 0.9796275 	 0.03989874 	 -276.4398 	 -7539.492 	Good
UTF1 	 0.02197802 	 0.8502286 	 0.3488468 	 0.09539765 	 -117.379 	 -5703.442 	Poor
CDH2..NCAD. 	 0.8241758 	 -0.100593 	 0.9007641 	 0.05806811 	 -204.0497 	 -5115.209 	Good
HNF4A 	 0 	 0.1522609 	 0.2126668 	 0.07046164 	 -214.6621 	 -6225.595 	Good
TGFBR2 	 0.967033 	 -0.6546314 	 0.3193291 	 0.1750281 	 -152.8901 	 -5808.891 	Poor
DUSP10 	 0.2527473 	 -0.2243821 	 0.2755202 	 0.04225803 	 -213.448 	 -8336.023 	Good
MYC 	 0.2967033 	 0.1452816 	 0.1744158 	 0.07601605 	 -80.05059 	 -4801.451 	Poor
ZFP42..REX1. 	 0.02197802 	 0.9855694 	 0.6658253 	 0.1520255 	 -174.8824 	 -8469.466 	Good
TRIM28 	 0.8901099 	 0.1017269 	 0.3497289 	 0.1465781 	 -255.6303 	 -9270.374 	Good
CD48 	 0 	 0.1002818 	 0.2772097 	 0.06399794 	 -227.7569 	 -7183.014 	Poor
CDKN1A 	 0.989011 	 -0.4976162 	 0.5601675 	 0.1750281 	 -189.0768 	 -6962.303 	Good
JMJD3 	 0.3406593 	 -0.1007244 	 0.9766801 	 0.04092794 	 -170.3447 	 -5231.545 	Good
RNF2 	 0.7362637 	 0.2338611 	 0.6759407 	 0.1336315 	 -205.4416 	 -6137.176 	Good
LATS2 	 0.7472527 	 -0.1408516 	 0.1321624 	 0.04788616 	 -157.4537 	 -4640.252 	Poor
FGF2 	 0.9010989 	 -0.1897739 	 0.1496136 	 0.06457743 	 -169.1734 	 -4735.553 	Poor
LCK 	 0 	 0.4898503 	 0.7138716 	 0.1750281 	 -174.1689 	 -5290.748 	Poor
KLF5 	 0.3516484 	 0.3478137 	 0.2382094 	 0.03984788 	 -130.4978 	 -5265.598 	Poor
KLF4 	 0.7582418 	 -0.2042388 	 0.1282418 	 0.073594 	 -165.5065 	 -6694.486 	Good
NACC1 	 0.7802198 	 0.1777531 	 0.3991738 	 0.1750281 	 -214.5037 	 -7943.182 	Good
DNMT3L 	 0 	 0.5812963 	 0.5794342 	 0.08163231 	 -155.6114 	 -5760.195 	Poor
EZH2 	 0.1538462 	 0.438677 	 0.8551197 	 0.1750281 	 -118.9114 	 -4991.803 	Poor
EED 	 0.2307692 	 -0.1002847 	 0.9796275 	 0.06116023 	 -170.8281 	 -5852.617 	Good
SMARCC2 	 0.989011 	 0.1004556 	 0.9796275 	 0.009552523 	 -287.9976 	 -6434.985 	Good
NODAL 	 0.02197802 	 0.572888 	 0.6921239 	 0.1239908 	 -180.5841 	 -8137.457 	Good
CDH1 	 0.1428571 	 0.8240329 	 0.3955845 	 0.1750281 	 -176.0397 	 -6257.968 	Poor
LEFTY2 	 0 	 0.699857 	 0.344314 	 0.08568435 	 -127.2872 	 -5140.763 	Poor
RIF1 	 0.6923077 	 0.1936059 	 0.3803914 	 0.04717636 	 -191.0397 	 -6486.747 	Good
ETV5 	 0.3736264 	 -0.1000861 	 0.8473613 	 0.1453572 	 -174.1247 	 -5688.709 	Good
DNMT3B 	 0.1098901 	 0.8838617 	 0.4272809 	 0.1750281 	 -188.6775 	 -7545.794 	Good
KDM5A 	 0.7802198 	 0.1007321 	 0.9006886 	 0.08466897 	 -177.0692 	 -4391.375 	Good
JARID2 	 0.5164835 	 0.4568027 	 0.2604038 	 0.1597611 	 -195.9747 	 -7831.411 	Good
LOX 	 1 	 -0.8427307 	 0.3798094 	 0.1750281 	 -181.7201 	 -6088.882 	Good
Wnt3 	 0 	 0.1932315 	 0.7106667 	 0.1142334 	 -238.9302 	 -10083.4 	Good
Gata6 	 0.1318681 	 -0.1000401 	 0.9776194 	 0.08031261 	 -201.106 	 -6461.839 	Good
DPPA2 	 0 	 0.5063255 	 0.7769643 	 0.1033726 	 -183.4541 	 -9793.191 	Poor
SALL1 	 0.6263736 	 0.201003 	 0.2618117 	 0.04234593 	 -163.6597 	 -6531.591 	Poor
NR0B1.DAX1. 	 0.01098901 	 0.1006632 	 0.9796275 	 0.01365848 	 -263.8707 	 -8161.375 	Poor
TCF3 	 0.3406593 	 0.8188819 	 0.9796275 	 0.168906 	 -146.5395 	 -5551.141 	Poor
PTPN6 	 0.02197802 	 0.3559609 	 0.7137791 	 0.1453218 	 -192.4726 	 -8710.062 	Poor
USP16 	 0.8021978 	 0.1000581 	 0.7099019 	 0.1750281 	 -196.5144 	 -6431.563 	Good
SETD1A 	 0.7142857 	 0.1769116 	 0.3765645 	 0.1750281 	 -189.5395 	 -6152.38 	Good
HDAC2 	 0.7032967 	 0.2656628 	 0.3299672 	 0.04734312 	 -202.2215 	 -8416.506 	Poor
