Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.3218018 	 0.849414 	 0.1750281 	 0.175637 	 0.3741645 	 0.08808838 	 -198.136 	 -8837.245 	Good
PHC1 	 0.4725275 	 0.6784797 	 0.6645087 	 0.170124 	 -0.1384642 	 0.1957613 	 0.03764127 	 -142.207 	 -8199.021 	Poor
SNAI2 	 0.8021978 	 -0.1279497 	 0.5093446 	 0.04680086 	 -0.6420527 	 0.2755732 	 0.07655992 	 -151.2355 	 -8102.361 	Poor
FOXD1 	 0.7692308 	 -0.1638509 	 0.1504114 	 0.04716413 	 -0.4579537 	 0.7160255 	 0.1434402 	 -147.0417 	 -7084.948 	Poor
CD44 	 1 	 -0.1006263 	 0.265597 	 0.1750281 	 -0.4901483 	 0.8555414 	 0.1529908 	 -170.6175 	 -7462.53 	Poor
GABRB3 	 0.04395604 	 0.1000524 	 0.5927258 	 0.1750281 	 0.9100839 	 0.8890242 	 0.09989928 	 -124.8656 	 -8512.22 	Poor
SOX2 	 0.04395604 	 0.8447444 	 0.7247253 	 0.1510746 	 0.1103763 	 0.2574742 	 0.05796347 	 -165.871 	 -8901.918 	Good
ZNF281 	 0.9230769 	 -0.1009635 	 0.1640136 	 0.03155549 	 0.1377106 	 0.4944396 	 0.1750281 	 -225.8219 	 -8352.97 	Good
SP1 	 0.8461538 	 -0.8542455 	 0.5432625 	 0.09735652 	 1 	 0.54741 	 0.1211225 	 -204.381 	 -9094.695 	Poor
LEFTY1 	 0.01098901 	 0.3468259 	 0.6590032 	 0.07853968 	 0.2098962 	 0.3100025 	 0.09466982 	 -176.6067 	 -8915.947 	Good
SET 	 0.9340659 	 -0.945473 	 0.3029261 	 0.09989394 	 1 	 0.3210009 	 0.08555234 	 -236.8053 	 -9031.595 	Poor
CBX7 	 0.04395604 	 -0.3485755 	 0.4296549 	 0.1237531 	 0.3357544 	 0.4282813 	 0.1750281 	 -269.4119 	 -10456.3 	Good
UTF1 	 0.02197802 	 -0.4913953 	 0.9765402 	 0.1009536 	 0.9100315 	 0.3614997 	 0.1089299 	 -103.6371 	 -7947.566 	Poor
CDH2..NCAD. 	 0.8241758 	 -1 	 0.3890823 	 0.1750281 	 0.9818302 	 0.3717185 	 0.1021477 	 -187.7673 	 -6849.34 	Good
HNF4A 	 0 	 0.2329636 	 0.3126751 	 0.1703117 	 -0.1773349 	 0.7813368 	 0.1082069 	 -193.7463 	 -8085.174 	Poor
TGFBR2 	 0.967033 	 -0.4593623 	 0.2294673 	 0.07874414 	 -0.2401043 	 0.6353217 	 0.08446625 	 -150.8039 	 -7828.428 	Poor
DUSP10 	 0.2527473 	 0.3295036 	 0.3219022 	 0.03260445 	 -0.5559869 	 0.3058002 	 0.04714751 	 -208.2192 	 -8477.551 	Good
MYC 	 0.2967033 	 0.237093 	 0.243783 	 0.1055285 	 -0.6232174 	 0.9534503 	 0.1750281 	 -72.6423 	 -8027.091 	Poor
ZFP42..REX1. 	 0.02197802 	 0.1000083 	 0.4498498 	 0.0700706 	 0.8717889 	 0.6851808 	 0.132186 	 -167.1905 	 -8552.058 	Good
TRIM28 	 0.8901099 	 -0.1005956 	 0.5558283 	 0.07097203 	 0.2114933 	 0.4788967 	 0.1750281 	 -248.2348 	 -9759.854 	Good
CD48 	 0 	 -0.1007225 	 0.8777616 	 0.1246658 	 0.1034116 	 0.2797436 	 0.06619112 	 -220.1384 	 -9143.202 	Poor
CDKN1A 	 0.989011 	 0.5082693 	 0.4089354 	 0.10037 	 -1 	 0.4695922 	 0.1750281 	 -180.1067 	 -8505.639 	Good
JMJD3 	 0.3406593 	 -0.3042295 	 0.241962 	 0.1633188 	 0.2585413 	 0.3346407 	 0.05171015 	 -162.6834 	 -6888.348 	Poor
RNF2 	 0.7362637 	 -0.1550123 	 0.2456197 	 0.03406129 	 0.3705267 	 0.5244375 	 0.1750281 	 -185.7336 	 -7620.198 	Good
