Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.163031 	 0.3604608 	 0.07291209 	 0.120326 	 0.645088 	 0.07674008 	 0.1521429 	 0.8871029 	 0.05767355 	 -189.8347 	 -9250.938 	Good
PHC1 	 0.4725275 	 0.6941387 	 0.6596097 	 0.1750281 	 -0.8320231 	 0.2386904 	 0.04212865 	 0.6797263 	 0.2446789 	 0.03504774 	 -133.1382 	 -8269.205 	Poor
SNAI2 	 0.8021978 	 0.3706027 	 0.4005268 	 0.04413797 	 -1 	 0.3629072 	 0.09299637 	 -0.1400734 	 0.1978363 	 0.02076694 	 -141.9159 	 -8372.413 	Poor
FOXD1 	 0.7692308 	 -1 	 0.3796191 	 0.1672271 	 0.6512103 	 0.3745868 	 0.07700939 	 -0.3806521 	 0.8664366 	 0.1750281 	 -136.6443 	 -8354.845 	Poor
CD44 	 1 	 0.2242763 	 0.3433826 	 0.1196392 	 -0.2311232 	 0.2456742 	 0.07422751 	 -0.5192826 	 0.7770845 	 0.1750281 	 -156.5016 	 -9553.656 	Poor
GABRB3 	 0.04395604 	 0.2086266 	 0.6206524 	 0.1639411 	 0.9986315 	 0.9034646 	 0.1171386 	 -0.1009296 	 0.5966748 	 0.04554085 	 -114.673 	 -9046.525 	Poor
SOX2 	 0.04395604 	 0.1219601 	 0.2650685 	 0.06333455 	 0.1004867 	 0.8785776 	 0.03470036 	 0.6976618 	 0.6929029 	 0.1238831 	 -157.1459 	 -9170.004 	Good
ZNF281 	 0.9230769 	 -0.1000248 	 0.164203 	 0.02984661 	 -0.4717376 	 0.5998494 	 0.1333298 	 0.6424501 	 0.5978028 	 0.1750281 	 -216.7436 	 -9379.044 	Good
SP1 	 0.8461538 	 -1 	 0.4519033 	 0.1522264 	 0.9521522 	 0.4960168 	 0.1750281 	 0.2013052 	 0.3571471 	 0.06132489 	 -194.3219 	 -9598.223 	Poor
LEFTY1 	 0.01098901 	 1 	 0.6601807 	 0.114423 	 -0.8008007 	 0.6386454 	 0.1750281 	 0.3228232 	 0.3379521 	 0.1062701 	 -168.1949 	 -9218.254 	Good
SET 	 0.9340659 	 -0.8389976 	 0.3098336 	 0.0373288 	 -0.1053321 	 0.1656885 	 0.0423455 	 1 	 0.3127314 	 0.04450752 	 -227.3606 	 -9477.457 	Poor
CBX7 	 0.04395604 	 -0.1004403 	 0.677777 	 0.1750281 	 0.9992427 	 0.4713198 	 0.1750281 	 -0.9170278 	 0.4520534 	 0.1459188 	 -260.443 	 -10514.88 	Good
UTF1 	 0.02197802 	 0.2279174 	 0.288095 	 0.04416731 	 -0.5266204 	 0.9796275 	 0.1151613 	 0.6966165 	 0.3961523 	 0.1142546 	 -94.44678 	 -8756.619 	Poor
CDH2..NCAD. 	 0.8241758 	 0.2527936 	 0.3302551 	 0.05981139 	 -0.2091858 	 0.7947943 	 0.113393 	 -0.1374979 	 0.1153385 	 0.05580794 	 -171.0185 	 -9244.446 	Poor
HNF4A 	 0 	 0.1454362 	 0.2052626 	 0.06078834 	 -0.2505348 	 0.7437753 	 0.1750281 	 0.1412491 	 0.5058514 	 0.04843948 	 -183.4844 	 -9451.192 	Poor
TGFBR2 	 0.967033 	 -0.1465669 	 0.6780019 	 0.06586028 	 -1 	 0.3347198 	 0.1339832 	 0.4469955 	 0.3981344 	 0.05713636 	 -141.8706 	 -8183.523 	Poor
DUSP10 	 0.2527473 	 0.2771765 	 0.3688434 	 0.03809904 	 -0.5445648 	 0.3420339 	 0.07814763 	 0.1001809 	 0.8132636 	 0.1750281 	 -193.6768 	 -8175.108 	Poor
MYC 	 0.2967033 	 -0.6279666 	 0.366158 	 0.1750281 	 0.8053622 	 0.3078803 	 0.1473167 	 -0.4585381 	 0.9365973 	 0.1194068 	 -64.54552 	 -8192.505 	Poor
ZFP42..REX1. 	 0.02197802 	 0.2231534 	 0.7549129 	 0.1397276 	 0.10051 	 0.4329837 	 0.05218366 	 0.6518928 	 0.6661427 	 0.1202195 	 -157.7908 	 -8578.733 	Poor
TRIM28 	 0.8901099 	 0.2028789 	 0.472196 	 0.1750281 	 -0.3612257 	 0.5784076 	 0.06569209 	 0.268071 	 0.5864926 	 0.06202075 	 -239.8799 	 -9766.219 	Good
CD48 	 0 	 -0.1297425 	 0.3739661 	 0.04346518 	 -0.1005794 	 0.8657098 	 0.1207161 	 0.2362783 	 0.3374702 	 0.07501806 	 -211.2509 	 -9211.137 	Poor
CDKN1A 	 0.989011 	 -0.1005673 	 0.9795768 	 0.08396904 	 -1 	 0.4547786 	 0.1750281 	 0.5283588 	 0.3965793 	 0.1021631 	 -171.5714 	 -9044.51 	Good
JMJD3 	 0.3406593 	 -0.7870835 	 0.3506787 	 0.1750281 	 0.120807 	 0.7557341 	 0.03541026 	 0.6554176 	 0.3538873 	 0.09070887 	 -155.1588 	 -8008.637 	Poor
RNF2 	 0.7362637 	 0.2255515 	 0.7440154 	 0.1750281 	 -0.960437 	 0.2519849 	 0.07835676 	 1 	 0.2771351 	 0.1119544 	 -177.8836 	 -9051.774 	Good
LATS2 	 0.7472527 	 -0.6721586 	 0.2998539 	 0.1308901 	 0.1910823 	 0.3529533 	 0.04306255 	 0.4957375 	 0.5493829 	 0.1750281 	 -139.2726 	 -8681.295 	Poor
FGF2 	 0.9010989 	 0.4036338 	 0.7853663 	 0.1317491 	 0.15516 	 0.343148 	 0.03027624 	 -0.502705 	 0.2985332 	 0.1535361 	 -137.5505 	 -8651.732 	Poor
