Gene	Baseline	Slope	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 Inf 	 Inf 	 Inf 	Poor
PHC1 	 0.4725275 	 Inf 	 Inf 	 Inf 	Poor
SNAI2 	 0.8021978 	 -Inf 	 Inf 	 Inf 	Poor
FOXD1 	 0.7692308 	 -Inf 	 Inf 	 Inf 	Poor
CD44 	 1 	 -Inf 	 Inf 	 Inf 	Poor
GABRB3 	 0.04395604 	 Inf 	 Inf 	 Inf 	Poor
SOX2 	 0.04395604 	 Inf 	 Inf 	 Inf 	Poor
ZNF281 	 0.9230769 	 Inf 	 Inf 	 Inf 	Poor
SP1 	 0.8461538 	 Inf 	 Inf 	 Inf 	Poor
LEFTY1 	 0.01098901 	 Inf 	 Inf 	 Inf 	Poor
SET 	 0.9340659 	 Inf 	 Inf 	 Inf 	Poor
CBX7 	 0.04395604 	 -Inf 	 Inf 	 Inf 	Poor
UTF1 	 0.02197802 	 Inf 	 Inf 	 Inf 	Poor
CDH2..NCAD. 	 0.8241758 	 -Inf 	 Inf 	 Inf 	Poor
HNF4A 	 0 	 Inf 	 Inf 	 Inf 	Poor
TGFBR2 	 0.967033 	 -Inf 	 Inf 	 Inf 	Poor
DUSP10 	 0.2527473 	 -Inf 	 Inf 	 Inf 	Poor
MYC 	 0.2967033 	 -Inf 	 Inf 	 Inf 	Poor
ZFP42..REX1. 	 0.02197802 	 Inf 	 Inf 	 Inf 	Poor
TRIM28 	 0.8901099 	 Inf 	 Inf 	 Inf 	Poor
CD48 	 0 	 Inf 	 Inf 	 Inf 	Poor
CDKN1A 	 0.989011 	 -Inf 	 Inf 	 Inf 	Poor
JMJD3 	 0.3406593 	 -Inf 	 Inf 	 Inf 	Poor
RNF2 	 0.7362637 	 Inf 	 Inf 	 Inf 	Poor
LATS2 	 0.7472527 	 Inf 	 Inf 	 Inf 	Poor
FGF2 	 0.9010989 	 Inf 	 Inf 	 Inf 	Poor
LCK 	 0 	 Inf 	 Inf 	 Inf 	Poor
KLF5 	 0.3516484 	 Inf 	 Inf 	 Inf 	Poor
KLF4 	 0.7582418 	 -Inf 	 Inf 	 Inf 	Poor
NACC1 	 0.7802198 	 Inf 	 Inf 	 Inf 	Poor
DNMT3L 	 0 	 Inf 	 Inf 	 Inf 	Poor
EZH2 	 0.1538462 	 Inf 	 Inf 	 Inf 	Poor
EED 	 0.2307692 	 Inf 	 Inf 	 Inf 	Poor
SMARCC2 	 0.989011 	 Inf 	 Inf 	 Inf 	Poor
NODAL 	 0.02197802 	 Inf 	 Inf 	 Inf 	Poor
CDH1 	 0.1428571 	 Inf 	 Inf 	 Inf 	Poor
LEFTY2 	 0 	 Inf 	 Inf 	 Inf 	Poor
