Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
TET1 	 U 	 Inf 	 0.1888889 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TET1 	 LR 	 0.1301156 	 0.1888889 	 0.6888471 	 1.564012 	 -110.971 	 -110.4492 	 0.3122774 	 -5055.81 	 -5055.798 	 6.38531 	 -126.9019 
TET1 	 N1 	 0.1897874 	 0.1888889 	 1.004757 	 1.57556 	 -100.263 	 -99.17208 	 0.4365111 	 -6151.493 	 -6151.469 	 2.132751 	 -152.844 
TET1 	 N2 	 0.2106384 	 0.1888889 	 1.115144 	 1.615618 	 -95.18661 	 -90.76555 	 0.4212768 	 -8537.941 	 -8537.857 	 0.195412 	 -205.6553 
TET1 	 N3 	 0.2503195 	 0.1888889 	 1.325221 	 1.666583 	 -88.92462 	 -77.67462 	 0.4255432 	 -8534.27 	 -8534.089 	 0.1949579 	 -192.8869 
PHC1 	 U 	 Inf 	 0.1970085 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
PHC1 	 LR 	 0.2498286 	 0.1970085 	 1.26811 	 1.564012 	 -94.00981 	 -93.48807 	 0.5995886 	 -3881.157 	 -3881.145 	 20.64512 	 -96.39143 
PHC1 	 N1 	 0.2171459 	 0.1970085 	 1.102216 	 1.57556 	 -96.7617 	 -95.67079 	 0.4994356 	 -4934.441 	 -4934.417 	 7.194013 	 -121.2322 
PHC1 	 N2 	 0.4488525 	 0.1970085 	 2.27834 	 1.615618 	 -75.51627 	 -71.09522 	 0.897705 	 -6732.824 	 -6732.739 	 1.186098 	 -158.7692 
PHC1 	 N3 	 0.5289143 	 0.1970085 	 2.684728 	 1.666583 	 -69.47433 	 -58.22433 	 0.8991543 	 -6810 	 -6809.818 	 1.091525 	 -148.1006 
SNAI2 	 U 	 Inf 	 0.1179487 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SNAI2 	 LR 	 0.3944072 	 0.1179487 	 3.343887 	 1.564012 	 -82.13798 	 -81.61624 	 0.9465772 	 -3635.466 	 -3635.454 	 26.38841 	 -90.00984 
SNAI2 	 N1 	 0.4485597 	 0.1179487 	 3.803006 	 1.57556 	 -77.89942 	 -76.80852 	 1.031687 	 -6455.255 	 -6455.231 	 1.574527 	 -160.7339 
SNAI2 	 N2 	 0.5164907 	 0.1179487 	 4.378943 	 1.615618 	 -71.86683 	 -67.44578 	 1.032981 	 -6424.263 	 -6424.179 	 1.614332 	 -150.7546 
SNAI2 	 N3 	 0.5667004 	 0.1179487 	 4.804634 	 1.666583 	 -67.68021 	 -56.43021 	 0.9633907 	 -7806.241 	 -7806.059 	 0.4034634 	 -173.977 
FOXD1 	 U 	 Inf 	 0.1987179 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
