Gene	Baseline	Slope	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.497095 	 -110.4492 	 -5055.798 	Good
PHC1 	 0.3983863 	 0.4513289 	 -93.48807 	 -3881.145 	Good
SNAI2 	 0.7796604 	 -0.9771266 	 -81.61624 	 -3635.454 	Poor
FOXD1 	 0.8988081 	 -0.8632135 	 -94.28214 	 -6301.821 	Good
CD44 	 1 	 -0.4300984 	 -94.8788 	 -4848.513 	Good
GABRB3 	 0 	 0.4262144 	 -66.11948 	 -3171.199 	Poor
SOX2 	 0 	 0.8244742 	 -97.98679 	 -4215.474 	Good
ZNF281 	 0.86575 	 0.07342778 	 -120.0578 	 -5822.811 	Good
SP1 	 0.7529634 	 0.2354441 	 -110.4914 	 -6410.583 	Good
LEFTY1 	 0 	 0.486511 	 -104.4743 	 -5654.785 	Good
SET 	 0.9094939 	 0.110762 	 -151.5801 	 -6282.035 	Good
UTF1 	 0.09988227 	 0.9319801 	 -52.98703 	 -3044.03 	Poor
CDH2..NCAD. 	 0.8224876 	 0.02588678 	 -105.1775 	 -4889.876 	Good
HNF4A 	 0.02631635 	 0.1449482 	 -115.0882 	 -5764.955 	Good
TGFBR2 	 0.8227802 	 -0.7786698 	 -81.87892 	 -4596.667 	Poor
DUSP10 	 0.305055 	 -0.3666869 	 -125.2474 	 -4789.924 	Good
MYC 	 0.7899984 	 -0.1093053 	 -45.09206 	 -3462.268 	Poor
ZFP42..REX1. 	 0 	 0.7434502 	 -97.64345 	 -3317.541 	Good
TRIM28 	 0.9175687 	 0.1010897 	 -153.4793 	 -7848.1 	Good
CD48 	 0.0185154 	 0.05320172 	 -134.2147 	 -6841.551 	Good
CDKN1A 	 1 	 -0.6038203 	 -97.21413 	 -5496.71 	Good
JMJD3 	 0.258665 	 -0.001685932 	 -94.17608 	 -5231.281 	Good
RNF2 	 0.6858436 	 0.2375178 	 -115.9529 	 -5052.225 	Good
LATS2 	 0.549278 	 0.07401499 	 -88.37681 	 -4095.052 	Good
FGF2 	 0.6910399 	 0.003723148 	 -84.76392 	 -3744.005 	Poor
LCK 	 0 	 0.367333 	 -96.42783 	 -4623.009 	Good
KLF5 	 0.449048 	 0.1036515 	 -83.75052 	 -4021.203 	Good
KLF4 	 0.6275543 	 -0.2267592 	 -87.57114 	 -5517.555 	Good
NACC1 	 0.878204 	 0.1025582 	 -123.863 	 -7859.376 	Good
DNMT3L 	 0 	 0.4676564 	 -74.49719 	 -3981.916 	Poor
EZH2 	 0 	 0.1801638 	 -63.94514 	 -4251.393 	Poor
EED 	 0.2772452 	 -0.02795862 	 -100.2065 	 -6720.429 	Good
