Gene	Baseline	Scale1	Mean1	Stdev1	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.5804265 	 0.6441273 	 0.1812029 	 -99.17208 	 -6151.469 	Good
PHC1 	 0.5581395 	 0.4131441 	 0.7511519 	 0.08039725 	 -95.67079 	 -4934.417 	Good
SNAI2 	 0.7906977 	 -0.7431522 	 0.3150372 	 0.07733356 	 -76.80852 	 -6455.231 	Poor
FOXD1 	 0.8139535 	 -0.6581427 	 0.4806682 	 0.1812029 	 -99.56641 	 -5655.824 	Good
CD44 	 1 	 -0.5900199 	 0.7222143 	 0.1812029 	 -104.8156 	 -5304.423 	Good
GABRB3 	 0.02325581 	 1 	 0.857251 	 0.09936995 	 -108.3974 	 -7977.478 	Good
SOX2 	 0.06976744 	 0.9316487 	 0.6844719 	 0.1812029 	 -91.56559 	 -6144.706 	Good
ZNF281 	 0.9767442 	 0.1006376 	 0.9978043 	 0.01288175 	 -112.223 	 -4717.619 	Poor
SP1 	 0.8139535 	 0.1718182 	 0.6335882 	 0.1812029 	 -108.1304 	 -6435.071 	Poor
LEFTY1 	 0.02325581 	 0.4743704 	 0.580053 	 0.1812029 	 -100.0792 	 -7176.081 	Good
SET 	 0.9767442 	 0.1000325 	 0.9978043 	 0.01188184 	 -155.751 	 -5798.259 	Good
UTF1 	 0.02325581 	 0.7973059 	 0.3158269 	 0.08097127 	 -62.39712 	 -4736.486 	Poor
CDH2..NCAD. 	 0.9302326 	 -0.1336055 	 0.7234539 	 0.05013687 	 -101.2403 	 -4409.949 	Good
HNF4A 	 0 	 0.1467223 	 0.3296255 	 0.1056539 	 -114.8048 	 -6496.713 	Good
TGFBR2 	 0.9302326 	 -0.6942978 	 0.2783508 	 0.1553184 	 -77.83585 	 -6228.128 	Poor
DUSP10 	 0.3488372 	 -0.3099286 	 0.248798 	 0.03024119 	 -112.4486 	 -7358.24 	Good
MYC 	 0.4883721 	 0.2764421 	 0.1046019 	 0.04913206 	 -44.75795 	 -3607.465 	Poor
ZFP42..REX1. 	 0.02325581 	 0.9874798 	 0.7052331 	 0.1539661 	 -95.55301 	 -7470.757 	Good
TRIM28 	 0.9302326 	 0.1005364 	 0.5554956 	 0.1812029 	 -146.8353 	 -7827.667 	Good
CD48 	 0 	 0.1013365 	 0.9343326 	 0.0859765 	 -120.1778 	 -5728.046 	Poor
CDKN1A 	 0.9767442 	 -0.6016199 	 0.5915675 	 0.1812029 	 -94.1521 	 -6478.359 	Good
JMJD3 	 0.3488372 	 -0.10087 	 0.09983001 	 0.05732639 	 -91.6692 	 -5335.95 	Good
RNF2 	 0.8139535 	 0.1838529 	 0.8160539 	 0.1280663 	 -110.454 	 -4942.778 	Good
LATS2 	 0.7906977 	 -0.2374463 	 0.1419466 	 0.03717601 	 -85.04212 	 -4444.725 	Good
FGF2 	 0.9534884 	 -0.3066707 	 0.1505876 	 0.05631192 	 -85.01319 	 -4218.604 	Poor
LCK 	 0 	 0.8687926 	 0.8844822 	 0.1812029 	 -106.4786 	 -5418.644 	Good
KLF5 	 0.3488372 	 0.2132483 	 0.2595599 	 0.02784212 	 -75.79163 	 -4709.572 	Poor
KLF4 	 0.7906977 	 -0.3115259 	 0.1125797 	 0.05664413 	 -87.78088 	 -6323.233 	Good
NACC1 	 0.8837209 	 0.1000029 	 0.5417867 	 0.1812029 	 -118.9353 	 -7890.636 	Poor
DNMT3L 	 0 	 0.4722122 	 0.573254 	 0.06536871 	 -67.01392 	 -5374.988 	Poor
EZH2 	 0.06976744 	 0.5934797 	 0.9250781 	 0.05729402 	 -105.8484 	 -5881.934 	Poor
EED 	 0.2790698 	 -0.1002089 	 0.9978043 	 0.009664155 	 -97.1096 	 -6480.743 	Good
