Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 0.1384387 	 0.2915304 	 0.01384557 	 0.4633433 	 0.7375914 	 0.127421 	 -90.76555 	 -8537.857 	Good
PHC1 	 0.5581395 	 0.6019125 	 0.7036535 	 0.1271168 	 -0.1697183 	 0.2839251 	 0.05847259 	 -71.09522 	 -6732.739 	Poor
SNAI2 	 0.7906977 	 -0.1004768 	 0.9978043 	 0.009664155 	 -0.7421065 	 0.3147982 	 0.07707179 	 -67.44578 	 -6424.179 	Poor
FOXD1 	 0.8139535 	 -0.5281715 	 0.627567 	 0.1812029 	 -0.1971472 	 0.2245715 	 0.02601678 	 -88.26969 	 -7019.014 	Good
CD44 	 1 	 -0.1182321 	 0.1796666 	 0.02937838 	 -0.4055088 	 0.7502076 	 0.08133478 	 -97.49438 	 -7199.363 	Good
GABRB3 	 0.02325581 	 0.6947235 	 0.8945919 	 0.06293376 	 0.2844341 	 0.7426099 	 0.05628297 	 -101.4112 	 -8433.914 	Good
SOX2 	 0.06976744 	 0.7713331 	 0.7044671 	 0.1279617 	 0.108561 	 0.2109709 	 0.06582574 	 -88.73275 	 -7422.056 	Good
ZNF281 	 0.9767442 	 -0.1428255 	 0.1615768 	 0.03644741 	 0.1887198 	 0.7601718 	 0.1812029 	 -105.2025 	 -8725.439 	Poor
SP1 	 0.8139535 	 1 	 0.5948483 	 0.1161907 	 -0.8258968 	 0.590803 	 0.08518357 	 -95.98595 	 -6786.924 	Poor
LEFTY1 	 0.02325581 	 0.127566 	 0.3337316 	 0.02037172 	 0.342146 	 0.660753 	 0.1170955 	 -90.15708 	 -8166.608 	Good
SET 	 0.9767442 	 -0.1423985 	 0.1587797 	 0.04983856 	 0.1660018 	 0.3516567 	 0.04428205 	 -134.1857 	 -10538.4 	Poor
UTF1 	 0.02325581 	 0.8911989 	 0.3356969 	 0.1026184 	 -0.5101313 	 0.9217386 	 0.08982394 	 -73.86583 	 -6752.744 	Poor
CDH2..NCAD. 	 0.9302326 	 0.8933656 	 0.3751324 	 0.08396077 	 -1 	 0.3448116 	 0.1812029 	 -97.61009 	 -6751.819 	Good
HNF4A 	 0 	 0.3345566 	 0.4857665 	 0.1812029 	 -0.3048345 	 0.7652645 	 0.1641137 	 -107.6639 	 -8490.29 	Good
TGFBR2 	 0.9302326 	 -0.7002293 	 0.2812008 	 0.1595804 	 0.1006264 	 0.9856289 	 0.02610415 	 -70.46521 	 -6261.424 	Poor
DUSP10 	 0.3488372 	 -0.9482017 	 0.2650784 	 0.02785407 	 0.6367956 	 0.2712012 	 0.02031506 	 -102.9535 	 -7461.354 	Good
MYC 	 0.4883721 	 -0.9513788 	 0.9277633 	 0.1154381 	 0.4029057 	 0.1637708 	 0.1204073 	 -66.58366 	 -7298.896 	Poor
ZFP42..REX1. 	 0.02325581 	 0.3223762 	 0.8333149 	 0.05840914 	 0.6247864 	 0.6202517 	 0.1022098 	 -84.91904 	 -7964.163 	Good
TRIM28 	 0.9302326 	 -0.1003166 	 0.4270728 	 0.06490716 	 0.1448827 	 0.4932906 	 0.1726491 	 -130.3736 	 -6491.517 	Poor
CD48 	 0 	 -0.4498308 	 0.4326332 	 0.1812029 	 0.4856379 	 0.3822416 	 0.1395163 	 -122.7329 	 -8682.133 	Good
CDKN1A 	 0.9767442 	 -0.5136184 	 0.6547548 	 0.1520508 	 -0.1005617 	 0.1434641 	 0.05189786 	 -88.73899 	 -7756.568 	Good
JMJD3 	 0.3488372 	 -1 	 0.3053321 	 0.1101418 	 0.8971357 	 0.3262164 	 0.05936502 	 -77.97683 	 -5948.236 	Poor
RNF2 	 0.8139535 	 0.3401767 	 0.5485052 	 0.1812029 	 -0.2063619 	 0.2039135 	 0.02024443 	 -88.62928 	 -7735.114 	Poor
LATS2 	 0.7906977 	 0.3858016 	 0.5597754 	 0.1812029 	 -0.4650206 	 0.1945651 	 0.07275733 	 -70.41546 	 -7594.553 	Poor
FGF2 	 0.9534884 	 -0.4528158 	 0.1978818 	 0.09733766 	 0.4252706 	 0.7645714 	 0.1362191 	 -74.43985 	 -7606.749 	Poor
LCK 	 0 	 0.1538491 	 0.3378334 	 0.1812029 	 0.6980444 	 0.9215378 	 0.08848562 	 -110.7371 	 -8237.449 	Good
KLF5 	 0.3488372 	 0.3768212 	 0.2935173 	 0.0502414 	 -0.2715017 	 0.6021716 	 0.0733153 	 -64.23582 	 -7110.815 	Poor
KLF4 	 0.7906977 	 -0.9026619 	 0.2068505 	 0.09461332 	 0.574822 	 0.2359927 	 0.04005438 	 -78.99342 	 -7125.381 	Good
NACC1 	 0.8837209 	 -0.9210754 	 0.4785065 	 0.04999065 	 1 	 0.4759898 	 0.05657692 	 -111.1998 	 -8310.329 	Poor
DNMT3L 	 0 	 0.5761546 	 0.5982923 	 0.08745358 	 -0.3428218 	 0.9164494 	 0.0356203 	 -72.63085 	 -8318.953 	Poor
EZH2 	 0.06976744 	 -0.1000763 	 0.2308448 	 0.1812029 	 0.9012085 	 0.9415393 	 0.1092131 	 -99.43529 	 -7529.959 	Poor
EED 	 0.2790698 	 0.9825639 	 0.2612329 	 0.05419631 	 -1 	 0.2561055 	 0.04079942 	 -86.47284 	 -7789.568 	Good
