Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
TET1 	 0 	 1 	 0.3302906 	 0.07829209 	 0.5476742 	 0.7152514 	 0.1560866 	 -0.9308241 	 0.3477719 	 0.09351486 	 -77.67462 	 -8534.089 	Good
PHC1 	 0.5581395 	 -0.1879178 	 0.266584 	 0.05177024 	 -0.3658243 	 0.4708422 	 0.09336117 	 1 	 0.6120647 	 0.1812029 	 -58.22433 	 -6809.818 	Poor
SNAI2 	 0.7906977 	 1 	 0.3901882 	 0.1812029 	 -0.7309064 	 0.473801 	 0.1002386 	 -1 	 0.2756083 	 0.07151362 	 -56.43021 	 -7806.059 	Poor
FOXD1 	 0.8139535 	 -0.2828824 	 0.5602066 	 0.05712184 	 -0.4436967 	 0.9756257 	 0.1812029 	 -0.2454754 	 0.2348882 	 0.03520662 	 -72.19365 	 -7803.275 	Good
CD44 	 1 	 0.6942843 	 0.2797356 	 0.1052334 	 -0.4819812 	 0.7326552 	 0.1083021 	 -0.7492793 	 0.2403855 	 0.08112082 	 -83.56005 	 -8586.385 	Good
GABRB3 	 0.02325581 	 0.8300099 	 0.8059258 	 0.1040423 	 -0.2624107 	 0.8339819 	 0.1812029 	 0.3658764 	 0.9137076 	 0.04809795 	 -87.64875 	 -8472.583 	Poor
SOX2 	 0.06976744 	 0.1223518 	 0.2235952 	 0.06815326 	 0.2086238 	 0.8586846 	 0.04755873 	 0.54792 	 0.6544429 	 0.0794282 	 -75.34584 	 -7923.813 	Good
ZNF281 	 0.9767442 	 -0.1677129 	 0.1679331 	 0.04721275 	 1 	 0.6205703 	 0.1812029 	 -0.787771 	 0.6012311 	 0.1573282 	 -92.85987 	 -8866.485 	Poor
SP1 	 0.8139535 	 0.1301619 	 0.7829689 	 0.09436696 	 -0.944424 	 0.3454847 	 0.1057133 	 1 	 0.3548353 	 0.0800169 	 -79.90957 	 -8367.168 	Poor
LEFTY1 	 0.02325581 	 -0.4506696 	 0.863214 	 0.07559491 	 1 	 0.8431282 	 0.1812029 	 0.1312194 	 0.3369868 	 0.02335279 	 -77.47244 	 -8375.516 	Good
SET 	 0.9767442 	 -0.3174681 	 0.4272459 	 0.05415196 	 -0.1483064 	 0.1619341 	 0.0519513 	 0.4891293 	 0.3990428 	 0.06447295 	 -121.175 	 -10594.02 	Poor
UTF1 	 0.02325581 	 0.3922745 	 0.4922413 	 0.1140021 	 0.5902588 	 0.2879583 	 0.05977871 	 -1 	 0.9951954 	 0.1812029 	 -61.99536 	 -7746.268 	Poor
CDH2..NCAD. 	 0.9302326 	 0.7229333 	 0.3095004 	 0.0828074 	 -0.1511409 	 0.7094698 	 0.06121521 	 -0.705398 	 0.2192336 	 0.09625189 	 -84.76569 	 -7764.486 	Good
HNF4A 	 0 	 1 	 0.3840755 	 0.1003765 	 -0.7550574 	 0.3741836 	 0.08200898 	 -0.2347032 	 0.8260756 	 0.1812029 	 -95.0147 	 -8766.892 	Good
TGFBR2 	 0.9302326 	 -0.3194265 	 0.7078467 	 0.1254246 	 -0.5721883 	 0.2338599 	 0.0938342 	 0.4899017 	 0.9978043 	 0.1812029 	 -60.3727 	 -7686.627 	Poor
DUSP10 	 0.3488372 	 0.5882614 	 0.6853914 	 0.1158261 	 -0.2782905 	 0.2424662 	 0.0235555 	 -0.6191791 	 0.6660829 	 0.1466586 	 -91.93079 	 -7890.832 	Good
MYC 	 0.4883721 	 -0.5921241 	 0.2147985 	 0.05697289 	 1 	 0.1983098 	 0.08901598 	 -1 	 0.9341214 	 0.1213769 	 -54.98935 	 -7787.12 	Poor
ZFP42..REX1. 	 0.02325581 	 0.1278252 	 0.8349744 	 0.03758769 	 -0.1553253 	 0.3546772 	 0.1332391 	 1 	 0.6368318 	 0.174089 	 -70.89338 	 -8513.92 	Poor
TRIM28 	 0.9302326 	 -0.2054763 	 0.4015012 	 0.09683289 	 0.5513551 	 0.437845 	 0.06357537 	 -0.2762391 	 0.4554039 	 0.04097794 	 -128.629 	 -9631.816 	Good
CD48 	 0 	 0.7673291 	 0.456723 	 0.1060965 	 -0.100468 	 0.9848044 	 0.1307773 	 -0.7028798 	 0.4802631 	 0.1004681 	 -111.0894 	 -8790.8 	Poor
CDKN1A 	 0.9767442 	 0.7338758 	 0.3566584 	 0.1026863 	 -0.3888559 	 0.7340257 	 0.1812029 	 -1 	 0.3710146 	 0.147256 	 -76.19079 	 -7992.133 	Good
JMJD3 	 0.3488372 	 1 	 0.505691 	 0.1723264 	 -0.2841247 	 0.1777124 	 0.04334742 	 -0.7544681 	 0.538931 	 0.07362092 	 -66.27214 	 -6761.634 	Poor
RNF2 	 0.8139535 	 0.3384707 	 0.4498159 	 0.1812029 	 -0.2619631 	 0.2062985 	 0.03209661 	 0.1004873 	 0.8842922 	 0.06109556 	 -77.27802 	 -8577.844 	Poor
LATS2 	 0.7906977 	 1 	 0.727688 	 0.1812029 	 -0.5676044 	 0.7625006 	 0.1161332 	 -0.4274545 	 0.188853 	 0.0683249 	 -57.41572 	 -7725.685 	Poor
FGF2 	 0.9534884 	 -0.4125001 	 0.1823284 	 0.07903789 	 -0.1004597 	 0.4300725 	 0.02694432 	 0.5170597 	 0.7487567 	 0.1812029 	 -61.94851 	 -8057.832 	Poor
LCK 	 0 	 0.6698394 	 0.9179708 	 0.08383145 	 -0.8421356 	 0.3583094 	 0.09697354 	 1 	 0.3565327 	 0.1139463 	 -99.12392 	 -8547.228 	Good
KLF5 	 0.3488372 	 0.3717565 	 0.291923 	 0.0487613 	 -0.2429374 	 0.5938675 	 0.05973852 	 -0.1005498 	 0.9395138 	 0.04607629 	 -51.97223 	 -7488.475 	Poor
KLF4 	 0.7906977 	 -1 	 0.671225 	 0.1603338 	 -0.2597014 	 0.09875416 	 0.04407388 	 0.86675 	 0.6677335 	 0.1181898 	 -67.61482 	 -6911.595 	Good
NACC1 	 0.8837209 	 -0.6904872 	 0.2695584 	 0.09000511 	 0.9564741 	 0.3207113 	 0.1287045 	 -0.1856366 	 0.4649079 	 0.05091665 	 -98.24997 	 -8855.504 	Poor
DNMT3L 	 0 	 -0.1177686 	 0.4357242 	 0.03047471 	 0.7064692 	 0.5738248 	 0.1112474 	 -0.3579385 	 0.9149475 	 0.03785737 	 -60.3716 	 -8526.774 	Poor
EZH2 	 0.06976744 	 0.1271231 	 0.7187451 	 0.1812029 	 0.5437448 	 0.920084 	 0.05703776 	 -0.1006391 	 0.2166233 	 0.1812029 	 -86.17411 	 -8505.804 	Poor
EED 	 0.2790698 	 -0.7358472 	 0.2980443 	 0.02676066 	 0.5497635 	 0.3073096 	 0.02271832 	 0.1682324 	 0.3160654 	 0.03898212 	 -74.32276 	 -7609.043 	Good
