Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
Tet1 	 U 	 Inf 	 0.1190476 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
Tet1 	 LR 	 0.1410302 	 0.1190476 	 1.184654 	 1.539686 	 -117.3933 	 -116.9133 	 0.3666785 	 -5944.176 	 -5944.164 	 2.628782 	 -161.9026 
Tet1 	 N1 	 0.1270687 	 0.1190476 	 1.067377 	 1.549845 	 -119.4104 	 -118.4104 	 0.3176716 	 -6190.821 	 -6190.797 	 2.050583 	 -166.3377 
Tet1 	 N2 	 0.152888 	 0.1190476 	 1.284259 	 1.584657 	 -111.8103 	 -107.8103 	 0.3363536 	 -8036.334 	 -8036.25 	 0.3225365 	 -209.1282 
Tet1 	 N3 	 0.1892827 	 0.1190476 	 1.589975 	 1.627977 	 -103.9362 	 -93.9362 	 0.3596371 	 -8782.231 	 -8782.049 	 0.152181 	 -218.1603 
PHC1 	 U 	 Inf 	 0.1845238 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
PHC1 	 LR 	 0.198018 	 0.1845238 	 1.07313 	 1.539686 	 -107.8905 	 -107.4105 	 0.5148469 	 -4382.645 	 -4382.633 	 12.50955 	 -118.2234 
PHC1 	 N1 	 0.2460655 	 0.1845238 	 1.333516 	 1.549845 	 -100.906 	 -99.906 	 0.6151638 	 -5051.615 	 -5051.591 	 6.399326 	 -134.4717 
PHC1 	 N2 	 0.2776113 	 0.1845238 	 1.504474 	 1.584657 	 -95.10785 	 -91.10785 	 0.6107449 	 -7357.471 	 -7357.386 	 0.6354932 	 -190.139 
PHC1 	 N3 	 0.3252396 	 0.1845238 	 1.762589 	 1.627977 	 -88.77922 	 -78.77922 	 0.6179553 	 -7632.183 	 -7632.002 	 0.4800879 	 -185.9911 
SNAI2 	 U 	 Inf 	 0.1642857 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SNAI2 	 LR 	 0.1567985 	 0.1642857 	 0.9544255 	 1.539686 	 -114.4256 	 -113.9456 	 0.4076761 	 -4224.918 	 -4224.906 	 14.64445 	 -113.8114 
SNAI2 	 N1 	 0.2026498 	 0.1642857 	 1.23352 	 1.549845 	 -106.3413 	 -105.3413 	 0.5066244 	 -6743.873 	 -6743.849 	 1.180131 	 -181.8076 
SNAI2 	 N2 	 0.2142411 	 0.1642857 	 1.304076 	 1.584657 	 -102.3632 	 -98.36322 	 0.4713303 	 -6680.044 	 -6679.96 	 1.250316 	 -171.19 
SNAI2 	 N3 	 0.296012 	 0.1642857 	 1.801812 	 1.627977 	 -91.41577 	 -81.41577 	 0.5624228 	 -7898.672 	 -7898.49 	 0.3678765 	 -193.4454 
FOXD1 	 U 	 Inf 	 0.2373016 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
FOXD1 	 LR 	 0.3239493 	 0.2373016 	 1.365138 	 1.539686 	 -94.10811 	 -93.62811 	 0.8422683 	 -4324.561 	 -4324.549 	 13.2569 	 -116.5986 
FOXD1 	 N1 	 0.4814552 	 0.2373016 	 2.028875 	 1.549845 	 -82.11197 	 -81.11197 	 1.203638 	 -5314.443 	 -5314.419 	 4.921565 	 -141.8236 
FOXD1 	 N2 	 0.5193036 	 0.2373016 	 2.18837 	 1.584657 	 -77.57238 	 -73.57238 	 1.142468 	 -5596.222 	 -5596.137 	 3.69188 	 -140.8733 
FOXD1 	 N3 	 0.6355921 	 0.2373016 	 2.678415 	 1.627977 	 -70.01937 	 -60.01937 	 1.207625 	 -7948.808 	 -7948.626 	 0.3499049 	 -194.8478 
CD44 	 U 	 Inf 	 0.1186508 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CD44 	 LR 	 0.2175571 	 0.1186508 	 1.833592 	 1.539686 	 -105.2556 	 -104.7756 	 0.5656485 	 -4978.689 	 -4978.677 	 6.896704 	 -134.8959 
CD44 	 N1 	 0.3100647 	 0.1186508 	 2.613254 	 1.549845 	 -94.43287 	 -93.43287 	 0.7751616 	 -7890.224 	 -7890.2 	 0.3754684 	 -213.8734 
