Gene	Baseline	Slope	AICC	FineAICC	Passes F-Test?
Tet1 	 0 	 0.2630767 	 -116.9133 	 -5944.164 	Good
PHC1 	 0.171689 	 0.812115 	 -107.4105 	 -4382.633 	Good
SNAI2 	 0.690532 	 -0.8522299 	 -113.9456 	 -4224.906 	Good
FOXD1 	 0.7495547 	 -0.4274576 	 -93.62811 	 -4324.549 	Good
CD44 	 1 	 -0.2844927 	 -104.7756 	 -4978.677 	Poor
GABRB3 	 0 	 0.546655 	 -87.92351 	 -3804.486 	Poor
SOX2 	 0 	 0.7766339 	 -115.541 	 -3997.56 	Good
ZNF281 	 0.8652112 	 0.1200241 	 -144.6896 	 -7267.742 	Good
SP1 	 0.8502148 	 0.1729952 	 -135.8581 	 -7235.923 	Good
LEFTY1 	 0 	 0.6808937 	 -98.65926 	 -5385.532 	Good
SET 	 0.890731 	 0.1161521 	 -144.0963 	 -7232.664 	Good
CBX7 	 0.1102741 	 -0.112805 	 -166.9011 	 -6905.483 	Good
UTF1 	 0.04982729 	 0.9927202 	 -71.0732 	 -3243.535 	Poor
CDH2_NCAD 	 0.8118191 	 0.05046539 	 -113.0086 	 -5067.076 	Good
HNF4A 	 0.1113312 	 0.04819563 	 -130.5614 	 -4918.598 	Good
TGFBR2 	 0.9752692 	 -0.7322987 	 -105.8191 	 -6038.347 	Good
DUSP10 	 0.1819341 	 -0.212521 	 -127.6807 	 -6023.954 	Good
MYC 	 0.1521816 	 -0.1385193 	 -115.856 	 -7015.569 	Poor
ZFP42_REX1 	 0 	 0.9168022 	 -110.3643 	 -3500.816 	Good
TRIM28 	 0.8780862 	 0.1398573 	 -144.98 	 -7709.506 	Good
CD48 	 0.04776671 	 0.05200124 	 -134.0239 	 -6066.226 	Good
CDKN1A 	 1 	 -0.477165 	 -107.22 	 -5665.28 	Good
JMJD3 	 0.2568068 	 0.1125015 	 -114.9595 	 -6484.526 	Good
RNF2 	 0.6144509 	 0.3641918 	 -113.2406 	 -5598.882 	Good
LATS2 	 0.5775578 	 0.170502 	 -109.1463 	 -5056.68 	Good
FGF2 	 0.7970126 	 -0.00900642 	 -111.125 	 -4961.982 	Good
LCK 	 0 	 0.4010584 	 -112.8101 	 -5525.337 	Good
KLF5 	 0.5503535 	 0.3447844 	 -80.41075 	 -3613.495 	Poor
