Gene	Baseline	Scale1	Mean1	Stdev1	AICC	FineAICC	Passes F-Test?
Tet1 	 0 	 0.2116893 	 0.435457 	 0.06479969 	 -118.4104 	 -6190.797 	Good
PHC1 	 0.4264706 	 0.5328838 	 0.6393959 	 0.1149269 	 -99.906 	 -5051.591 	Good
SNAI2 	 0.75 	 -0.7011195 	 0.3038802 	 0.1162443 	 -105.3413 	 -6743.849 	Good
FOXD1 	 0.6911765 	 -0.5541384 	 0.7731648 	 0.1368452 	 -81.11197 	 -5314.419 	Poor
CD44 	 1 	 -0.5483345 	 0.8147874 	 0.1774006 	 -93.43287 	 -7890.2 	Poor
GABRB3 	 0.05882353 	 1 	 0.8499555 	 0.1397674 	 -65.39344 	 -5859.307 	Poor
SOX2 	 0.04411765 	 0.9509048 	 0.6962564 	 0.1774006 	 -110.7618 	 -6838.149 	Good
ZNF281 	 0.9117647 	 0.1001581 	 0.7895928 	 0.1774006 	 -141.9914 	 -6842.615 	Good
SP1 	 0.8382353 	 0.1407517 	 0.292276 	 0.1774006 	 -133.1469 	 -7030.561 	Good
LEFTY1 	 0 	 0.6262519 	 0.5012444 	 0.1774006 	 -93.37794 	 -5910.646 	Poor
SET 	 0.9264706 	 0.1001025 	 0.7330431 	 0.1774006 	 -142.8335 	 -6940.807 	Good
CBX7 	 0.05882353 	 -0.1006584 	 0.8188551 	 0.1774006 	 -159.8985 	 -6482.176 	Good
UTF1 	 0.02941176 	 0.8061736 	 0.3638479 	 0.08428847 	 -58.12786 	 -5138.763 	Poor
CDH2_NCAD 	 0.8088235 	 0.1009872 	 0.2667805 	 0.07843389 	 -104.7719 	 -5089.391 	Good
HNF4A 	 0 	 0.1671465 	 0.1888064 	 0.04070326 	 -121.5795 	 -5562.463 	Good
TGFBR2 	 0.9558824 	 -0.5830535 	 0.4233694 	 0.1774006 	 -96.45753 	 -5223.263 	Good
DUSP10 	 0.1911765 	 -0.1688705 	 0.3037074 	 0.04152563 	 -122.7674 	 -7948.683 	Good
MYC 	 0.08823529 	 -0.1003097 	 0.7604332 	 0.153736 	 -111.9142 	 -6771.807 	Poor
ZFP42_REX1 	 0.01470588 	 1 	 0.6195762 	 0.1486325 	 -102.4622 	 -7390.349 	Good
TRIM28 	 0.8676471 	 0.1109375 	 0.2688292 	 0.1043472 	 -141.0622 	 -8217.406 	Good
CD48 	 0 	 0.1000513 	 0.2059526 	 0.1696341 	 -131.527 	 -6527.586 	Good
CDKN1A 	 1 	 -0.4880399 	 0.5720044 	 0.1774006 	 -112.6125 	 -6867.916 	Good
JMJD3 	 0.3235294 	 0.1001759 	 0.9873415 	 0.009461363 	 -113.7275 	 -5822.496 	Good
RNF2 	 0.6617647 	 0.3319559 	 0.6220632 	 0.1774006 	 -111.3604 	 -6176.591 	Good
LATS2 	 0.7352941 	 0.1001561 	 0.8661246 	 0.0730354 	 -99.53035 	 -4333.627 	Good
FGF2 	 0.8970588 	 -0.1196425 	 0.1271822 	 0.05874037 	 -107.3715 	 -5127.085 	Good
LCK 	 0 	 0.3888505 	 0.5508064 	 0.1774006 	 -111.6261 	 -5353.617 	Good
KLF5 	 0.3823529 	 0.4455999 	 0.238287 	 0.03953768 	 -70.27818 	 -5119.476 	Poor
KLF4 	 0.7941176 	 -0.1801036 	 0.1376571 	 0.05153096 	 -89.28719 	 -5494.561 	Poor
NACC1 	 0.7058824 	 0.2324856 	 0.3781743 	 0.1774006 	 -116.8367 	 -7134.072 	Good
DNMT3L 	 0 	 0.5598191 	 0.5495663 	 0.08540891 	 -80.28845 	 -4937.624 	Poor
EZH2 	 0.2058824 	 0.3299094 	 0.1294162 	 0.1136736 	 -110.9177 	 -5545.431 	Good
EED 	 0.1764706 	 0.1232287 	 0.108199 	 0.08127206 	 -103.2693 	 -6234.188 	Good
SMARCC2 	 0.9852941 	 0.1009977 	 0.9873415 	 0.147664 	 -164.3484 	 -6812.206 	Good
NODAL 	 0.02941176 	 0.6006049 	 0.6601385 	 0.09390091 	 -106.6548 	 -6818.353 	Good
CDH1 	 0.08823529 	 0.8919349 	 0.3648101 	 0.1774006 	 -96.07061 	 -6598.011 	Poor
LEFTY2 	 0 	 0.6754028 	 0.359454 	 0.08792812 	 -62.77671 	 -4758.421 	Poor
RIF1 	 0.6470588 	 0.2379252 	 0.2806805 	 0.03000638 	 -93.2322 	 -6614.825 	Poor
ETV5 	 0.2794118 	 0.1002527 	 0.7789106 	 0.04393087 	 -99.65076 	 -5738.492 	Good
DNMT3B 	 0.1323529 	 0.8473448 	 0.3604182 	 0.1306447 	 -96.48229 	 -6555.755 	Poor
KDM5A 	 0.7647059 	 0.100293 	 0.7666904 	 0.04420771 	 -97.61721 	 -4575.314 	Good
JARID2 	 0.4411765 	 0.536899 	 0.2376044 	 0.1373903 	 -94.66113 	 -7500.211 	Poor
LOX 	 1 	 -0.8258816 	 0.3870661 	 0.1774006 	 -102.9261 	 -4916.154 	Good
Wnt3 	 0 	 0.2209086 	 0.6460273 	 0.09710873 	 -139.0785 	 -9001.494 	Good
Gata6 	 0.1764706 	 -0.1008421 	 0.8978514 	 0.07420029 	 -116.9811 	 -5365.786 	Good
DPPA2 	 0 	 0.4555476 	 0.7585336 	 0.08814658 	 -98.07408 	 -8799.713 	Poor
SALL1 	 0.6176471 	 0.2413918 	 0.3006846 	 0.04225376 	 -90.25361 	 -6929.53 	Poor
TCF3 	 0.2794118 	 0.3003352 	 0.2022576 	 0.1036266 	 -101.1122 	 -5365.682 	Good
PTPN6 	 0.02941176 	 0.3756483 	 0.6758678 	 0.1016138 	 -111.7319 	 -7826.601 	Good
USP16 	 0.7352941 	 0.1175764 	 0.2272114 	 0.05870709 	 -120.0984 	 -7438.052 	Good
SETD1A 	 0.6617647 	 0.2651026 	 0.3758072 	 0.1774006 	 -97.14855 	 -6317.687 	Poor
HDAC2 	 0.6029412 	 0.3418914 	 0.3042997 	 0.04443758 	 -115.9863 	 -6997.3 	Good
LUM 	 0.9852941 	 -0.9238387 	 0.3675521 	 0.1477608 	 -93.09839 	 -6243.236 	Poor
SOX13 	 0.3676471 	 0.4328449 	 0.4181856 	 0.05898681 	 -98.38108 	 -5085.913 	Good
SMAD4 	 0.7794118 	 0.1294067 	 0.222924 	 0.05869962 	 -117.2816 	 -7521.389 	Good
SEMA6A 	 0 	 0.9858904 	 0.4320095 	 0.1774006 	 -98.93429 	 -7917.18 	Good
GAL 	 0.1029412 	 0.6861059 	 0.3453376 	 0.1268534 	 -67.06931 	 -6446.455 	Poor
SALL4 	 0.1176471 	 0.8679584 	 0.3690348 	 0.1774006 	 -93.55207 	 -6911.915 	Poor
HESX1 	 0 	 0.5132836 	 0.9873415 	 0.1079384 	 -104.0582 	 -7257.585 	Poor
PRDM14 	 0 	 0.9501846 	 0.5207159 	 0.1472402 	 -108.1369 	 -7798.714 	Good
COL3A1 	 1 	 -1 	 0.6769822 	 0.1531532 	 -92.8863 	 -7309.776 	Poor
GREM1 	 0.7794118 	 -0.7573929 	 0.2409186 	 0.0780068 	 -91.40793 	 -7411.43 	Poor
DVL2 	 0.6617647 	 0.2261589 	 0.1596294 	 0.1774006 	 -98.28321 	 -7622.754 	Poor
APOE 	 0.1323529 	 0.8395193 	 0.4779644 	 0.1774006 	 -106.0482 	 -5009.659 	Good
