Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	AICC	FineAICC	Passes F-Test?
Tet1 	 0 	 0.1783545 	 0.90682 	 0.03771361 	 0.176158 	 0.4185529 	 0.04841577 	 -107.8103 	 -8036.25 	Good
PHC1 	 0.4264706 	 -0.2442205 	 0.1949861 	 0.07272376 	 0.7913455 	 0.5589201 	 0.1774006 	 -91.10785 	 -7357.386 	Good
SNAI2 	 0.75 	 -0.1003879 	 0.9873415 	 0.1774006 	 -0.683303 	 0.2978473 	 0.1087158 	 -98.36322 	 -6679.96 	Good
FOXD1 	 0.6911765 	 -1 	 0.554069 	 0.1774006 	 0.5595106 	 0.4416265 	 0.07270808 	 -73.57238 	 -5596.137 	Poor
CD44 	 1 	 -0.4555912 	 0.8641007 	 0.1372334 	 -0.1003132 	 0.5129716 	 0.1774006 	 -85.76312 	 -8545.186 	Poor
GABRB3 	 0.05882353 	 0.843354 	 0.8633128 	 0.09369171 	 0.1056729 	 0.3308274 	 0.1219408 	 -58.69103 	 -7798.012 	Poor
SOX2 	 0.04411765 	 0.1828048 	 0.3921419 	 0.09321992 	 0.7782551 	 0.7574875 	 0.1365058 	 -97.90481 	 -8554.288 	Good
ZNF281 	 0.9117647 	 -0.1004825 	 0.1592339 	 0.03344633 	 0.1496766 	 0.341489 	 0.1102681 	 -129.3762 	 -8718.921 	Good
SP1 	 0.8382353 	 -0.8361984 	 0.4378552 	 0.09080538 	 1 	 0.4314946 	 0.1321029 	 -126.6227 	 -9101.514 	Good
LEFTY1 	 0 	 0.2615167 	 0.2735769 	 0.09131322 	 0.3675292 	 0.6415543 	 0.06155699 	 -83.71743 	 -7871.754 	Poor
SET 	 0.9264706 	 0.1005049 	 0.9873415 	 0.01147955 	 0.2496213 	 0.9873415 	 0.1774006 	 -132.4633 	 -6494.959 	Good
CBX7 	 0.05882353 	 -0.2473115 	 0.4081968 	 0.08179012 	 0.2017282 	 0.2999367 	 0.1292249 	 -145.1948 	 -9248.355 	Good
UTF1 	 0.02941176 	 0.901861 	 0.3814535 	 0.1018455 	 -0.5467229 	 0.9455081 	 0.1170657 	 -43.54645 	 -8406.527 	Poor
CDH2_NCAD 	 0.8088235 	 1 	 0.33197 	 0.1058159 	 -0.9994896 	 0.3580028 	 0.1774006 	 -97.16837 	 -7031.112 	Poor
HNF4A 	 0 	 -0.1894378 	 0.7727555 	 0.09354112 	 0.2301721 	 0.2206883 	 0.07387059 	 -101.5177 	 -7936.294 	Poor
TGFBR2 	 0.9558824 	 -0.3466306 	 0.6446231 	 0.09111243 	 -0.2832928 	 0.2201192 	 0.04858887 	 -96.13097 	 -7297.798 	Good
DUSP10 	 0.1911765 	 0.1126374 	 0.1767171 	 0.02214357 	 -0.2827479 	 0.2628198 	 0.07282942 	 -113.1353 	 -8297.95 	Poor
MYC 	 0.08823529 	 0.8060804 	 0.7309162 	 0.05264586 	 -0.8788849 	 0.7263629 	 0.05815662 	 -103.9676 	 -6864.438 	Poor
ZFP42_REX1 	 0.01470588 	 0.8053753 	 0.6533387 	 0.100946 	 0.1685319 	 0.3867697 	 0.04397881 	 -93.22586 	 -8665.868 	Good
TRIM28 	 0.8676471 	 0.5577071 	 0.494227 	 0.1774006 	 -0.4203763 	 0.5217626 	 0.1148719 	 -133.2052 	 -9111.437 	Good
CD48 	 0 	 0.1219316 	 0.2538249 	 0.06163959 	 -0.1202973 	 0.8577892 	 0.08356118 	 -121.0278 	 -8415.742 	Poor
CDKN1A 	 1 	 -1 	 0.4761226 	 0.1774006 	 0.5184049 	 0.4133797 	 0.1031784 	 -102.2241 	 -7956.84 	Good
JMJD3 	 0.3235294 	 -0.1001935 	 0.1031482 	 0.1772061 	 0.1230785 	 0.3810705 	 0.05478153 	 -102.4343 	 -6940.59 	Good
RNF2 	 0.6617647 	 0.5984922 	 0.3906912 	 0.1774006 	 -0.321797 	 0.2761994 	 0.03694227 	 -98.98344 	 -6664.038 	Good
LATS2 	 0.7352941 	 0.2716371 	 0.699358 	 0.1177101 	 -0.1867148 	 0.1728638 	 0.09926023 	 -95.37674 	 -7856.384 	Good
FGF2 	 0.8970588 	 -0.2142357 	 0.3104535 	 0.1774006 	 0.2484795 	 0.8152399 	 0.07064933 	 -88.72835 	 -6429.702 	Poor
