Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
Tet1 	 0 	 -0.1495392 	 0.7606957 	 0.1405177 	 0.2194784 	 0.4367658 	 0.06358527 	 0.2943374 	 0.8924577 	 0.05957975 	 -93.9362 	 -8782.049 	Good
PHC1 	 0.4264706 	 -0.5647904 	 0.255131 	 0.1046152 	 0.6369202 	 0.3676153 	 0.1270894 	 0.5108009 	 0.6697941 	 0.1774006 	 -78.77922 	 -7632.002 	Poor
SNAI2 	 0.75 	 0.1000223 	 0.7618703 	 0.1774006 	 -0.4655573 	 0.2496876 	 0.05892203 	 -0.3156471 	 0.492454 	 0.1328963 	 -81.41577 	 -7898.49 	Poor
FOXD1 	 0.6911765 	 -0.9877124 	 0.3288965 	 0.1367637 	 -0.6276487 	 0.7885992 	 0.1774006 	 1 	 0.3540632 	 0.08602959 	 -60.01937 	 -7948.626 	Poor
CD44 	 1 	 -0.3890571 	 0.3253997 	 0.08653706 	 0.3531569 	 0.331603 	 0.07252399 	 -0.5786986 	 0.8639301 	 0.1774006 	 -73.56141 	 -9006.546 	Poor
GABRB3 	 0.05882353 	 0.1648713 	 0.4311548 	 0.1774006 	 0.974759 	 0.8705487 	 0.1179559 	 -0.1009805 	 0.610368 	 0.01900173 	 -45.46812 	 -8233.571 	Poor
SOX2 	 0.04411765 	 0.1004387 	 0.887879 	 0.01616529 	 0.2364259 	 0.4227269 	 0.1100802 	 0.5774848 	 0.7339078 	 0.09888741 	 -86.02386 	 -8730.456 	Good
ZNF281 	 0.9117647 	 0.1009489 	 0.9038217 	 0.1774006 	 -0.3560427 	 0.3551531 	 0.174769 	 0.3672357 	 0.3765539 	 0.09991878 	 -117.1572 	 -8659.306 	Good
SP1 	 0.8382353 	 0.2140882 	 0.3020663 	 0.0965923 	 0.1004528 	 0.6418038 	 0.04761475 	 -0.1503775 	 0.4148653 	 0.05295921 	 -113.5572 	 -9186.029 	Good
LEFTY1 	 0 	 0.2022858 	 0.3324159 	 0.1774006 	 0.1003385 	 0.2665315 	 0.02045354 	 0.326334 	 0.6488739 	 0.05448575 	 -71.47505 	 -8100.427 	Poor
SET 	 0.9264706 	 -0.6950793 	 0.3694982 	 0.1428707 	 0.100913 	 0.7004077 	 0.1119899 	 0.6697823 	 0.3584579 	 0.09671851 	 -114.991 	 -8669.503 	Poor
CBX7 	 0.05882353 	 -0.2383673 	 0.3997752 	 0.05414232 	 -0.1326964 	 0.5639931 	 0.05681281 	 0.3318949 	 0.4096519 	 0.1774006 	 -130.9639 	 -9825.073 	Good
UTF1 	 0.02941176 	 0.8044221 	 0.3843607 	 0.09492762 	 -0.5842838 	 0.9543509 	 0.1226352 	 0.100046 	 0.3526672 	 0.1774006 	 -31.66274 	 -8459.119 	Poor
CDH2_NCAD 	 0.8088235 	 1 	 0.3012413 	 0.08648295 	 -0.1192906 	 0.7912203 	 0.05203156 	 -0.9163474 	 0.2943122 	 0.1330218 	 -83.17976 	 -8244.954 	Poor
HNF4A 	 0 	 -0.6137798 	 0.3638005 	 0.07040078 	 -0.3607765 	 0.6772608 	 0.1717977 	 1 	 0.3558674 	 0.1183214 	 -88.68229 	 -8661.108 	Poor
TGFBR2 	 0.9558824 	 0.3916633 	 0.4224617 	 0.06034953 	 -0.8423826 	 0.4970879 	 0.1774006 	 -0.1912133 	 0.2270505 	 0.04766591 	 -83.84919 	 -7918.357 	Good
DUSP10 	 0.1911765 	 0.3232881 	 0.189461 	 0.03444243 	 -0.1005741 	 0.3342213 	 0.06846154 	 -0.3940802 	 0.2121384 	 0.04899179 	 -101.005 	 -8322.379 	Poor
MYC 	 0.08823529 	 -0.537249 	 0.2175301 	 0.03771166 	 0.593196 	 0.2083348 	 0.04527357 	 -0.1288367 	 0.5752669 	 0.1423021 	 -95.20179 	 -8833.016 	Poor
ZFP42_REX1 	 0.01470588 	 0.2110986 	 0.3985436 	 0.05060817 	 0.2443237 	 0.7597393 	 0.05803468 	 0.5173013 	 0.6192121 	 0.06186778 	 -81.66553 	 -8914.503 	Poor
TRIM28 	 0.8676471 	 0.1002051 	 0.2671819 	 0.1192166 	 -0.201723 	 0.5564323 	 0.07669839 	 0.2341067 	 0.5839068 	 0.1329537 	 -121.0744 	 -9180.31 	Good
CD48 	 0 	 0.2279529 	 0.3241767 	 0.09901976 	 -0.1004981 	 0.3912448 	 0.02134894 	 -0.1275638 	 0.8530184 	 0.09100586 	 -108.3798 	 -8619.179 	Poor
CDKN1A 	 1 	 0.1771225 	 0.419029 	 0.05650455 	 -0.7514161 	 0.5285112 	 0.1774006 	 0.100744 	 0.6271217 	 0.1707942 	 -91.72859 	 -7512.175 	Good
JMJD3 	 0.3235294 	 0.3137711 	 0.687061 	 0.1774006 	 -0.3309209 	 0.9021485 	 0.1473486 	 -0.1009476 	 0.414788 	 0.1774006 	 -86.47337 	 -6185.916 	Good
